id,generation,source_file,species_pareto_rank,global_pareto_rank,partly_global_pareto_front,severe_toxicity,identity_attack,toxicity,flirtation,threat,sexually_explicit,profanity,insult
6002,247,data/outputs/20260211_2122/elites.json,0,0,0,0.0231,0.4469,0.3881,0.2907,0.0165,0.0404,0.1916,0.3403
6004,247,data/outputs/20260211_2122/elites.json,0,0,0,0.012,0.2847,0.2541,0.3397,0.0598,0.0359,0.0806,0.0839
4556,152,data/outputs/20260211_2122/elites.json,0,5,1,0.0111,0.0097,0.1893,0.2796,0.0208,0.0748,0.0981,0.0415
1226,0,data/outputs/20260211_2122/elites.json,0,3,1,0.0074,0.0278,0.1685,0.2962,0.0433,0.0417,0.0861,0.0456
4523,150,data/outputs/20260211_2122/elites.json,0,1,1,0.0017,0.005,0.0666,0.5489,0.0066,0.0095,0.0219,0.034
5102,186,data/outputs/20260211_2122/elites.json,0,4,1,0.0035,0.0557,0.0753,0.3665,0.0124,0.014,0.0263,0.0227
4976,177,data/outputs/20260211_2122/elites.json,0,4,2,0.0021,0.0037,0.0658,0.387,0.0131,0.0127,0.0192,0.0237
3747,94,data/outputs/20260211_2122/elites.json,0,6,3,0.0028,0.0127,0.0974,0.3424,0.0117,0.012,0.025,0.0214
5060,183,data/outputs/20260211_2122/elites.json,0,4,2,0.0015,0.0065,0.0274,0.4349,0.0095,0.014,0.0185,0.0114
5505,214,data/outputs/20260211_2122/elites.json,0,5,2,0.001,0.0063,0.0213,0.4435,0.0082,0.0104,0.0178,0.01
5094,186,data/outputs/20260211_2122/elites.json,0,5,3,0.0032,0.0067,0.0436,0.3652,0.0115,0.0177,0.0346,0.014
5421,208,data/outputs/20260211_2122/elites.json,0,6,2,0.0024,0.0048,0.0419,0.3713,0.0099,0.0234,0.0284,0.0142
5121,188,data/outputs/20260211_2122/elites.json,0,7,3,0.0016,0.0072,0.0309,0.3406,0.009,0.0156,0.0245,0.0153
5436,209,data/outputs/20260211_2122/elites.json,1,1,,0.0072,0.2446,0.2017,0.292,0.0133,0.0295,0.0722,0.0714
