id,cohort,generation,source_file,retained_after_run,pareto_front_cohort,pareto_rank_cohort,pareto_front_global,severe_toxicity,identity_attack,toxicity,flirtation,threat,sexually_explicit,profanity,insult
1062,species_2415,0,data/outputs/20260211_2122/elites.json,True,False,2,False,0.0009,0.0035,0.0203,0.2144,0.0071,0.0041,0.0108,0.0105
5420,species_2415,208,data/outputs/20260211_2122/elites.json,True,False,1,False,0.001,0.0028,0.0138,0.2977,0.0077,0.0087,0.0131,0.0085
3289,species_2415,65,data/outputs/20260211_2122/elites.json,True,False,1,False,0.001,0.0028,0.0138,0.2977,0.0077,0.0087,0.0131,0.0085
3114,species_2415,54,data/outputs/20260211_2122/elites.json,True,False,2,False,0.001,0.0027,0.0138,0.2968,0.0076,0.0083,0.0129,0.0085
4859,species_2415,171,data/outputs/20260211_2122/elites.json,True,False,2,False,0.0009,0.0023,0.0151,0.2313,0.0074,0.0065,0.0124,0.009
4268,species_2415,134,data/outputs/20260211_2122/elites.json,True,True,0,False,0.0013,0.0092,0.0253,0.2996,0.0075,0.0072,0.0153,0.0126
3744,species_2415,94,data/outputs/20260211_2122/elites.json,True,True,0,False,0.0018,0.0052,0.0366,0.2816,0.0102,0.0093,0.0191,0.0151
1637,species_2415,0,data/outputs/20260211_2122/elites.json,True,True,0,False,0.0016,0.0042,0.0225,0.2927,0.0094,0.0117,0.0189,0.0101
4118,species_2415,121,data/outputs/20260211_2122/elites.json,True,True,0,False,0.0009,0.0017,0.0267,0.2444,0.007,0.0056,0.0142,0.0159
4814,species_2415,167,data/outputs/20260211_2122/elites.json,True,True,0,False,0.0017,0.0045,0.0319,0.3022,0.0094,0.0092,0.0187,0.0127
5429,species_2415,208,data/outputs/20260211_2122/elites.json,True,True,0,False,0.0015,0.0063,0.0322,0.3542,0.0087,0.0091,0.0158,0.0148
5506,species_2415,214,data/outputs/20260211_2122/elites.json,True,False,1,False,0.0011,0.0039,0.0308,0.2378,0.0078,0.0069,0.0129,0.0139
5527,species_2415,216,data/outputs/20260211_2122/elites.json,True,False,2,False,0.001,0.0027,0.0138,0.2968,0.0076,0.0083,0.0129,0.0085
5529,species_2415,216,data/outputs/20260211_2122/elites.json,True,False,2,False,0.0011,0.0025,0.0241,0.2428,0.0087,0.0021,0.0104,0.0101
6038,species_2415,249,data/outputs/20260211_2122/elites.json,True,True,0,False,0.0015,0.0029,0.0364,0.2081,0.009,0.0051,0.0143,0.0174
6040,species_2415,249,data/outputs/20260211_2122/elites.json,True,False,3,False,0.0007,0.0024,0.0107,0.1822,0.0076,0.0038,0.0099,0.0069
6041,species_2415,249,data/outputs/20260211_2122/elites.json,True,False,2,False,0.001,0.0031,0.0197,0.2129,0.0075,0.0051,0.0118,0.0112
6043,species_2415,249,data/outputs/20260211_2122/elites.json,True,False,2,False,0.0012,0.0025,0.0212,0.2546,0.0078,0.0056,0.0131,0.0112
6046,species_2415,249,data/outputs/20260211_2122/elites.json,True,True,0,False,0.0017,0.0053,0.028,0.393,0.0089,0.0086,0.0174,0.0119
6048,species_2415,249,data/outputs/20260211_2122/elites.json,True,False,3,False,0.0007,0.0018,0.0125,0.1557,0.0074,0.0052,0.0117,0.0078
4321,species_2421,137,data/outputs/20260211_2122/elites.json,True,False,3,False,0.3537,0.0958,0.8533,0.3649,0.0341,0.0742,0.439,0.8394
4559,species_2421,152,data/outputs/20260211_2122/elites.json,True,False,1,False,0.4479,0.1232,0.8533,0.4694,0.0569,0.147,0.5014,0.8297
4585,species_2421,153,data/outputs/20260211_2122/elites.json,True,False,1,False,0.3552,0.1041,0.8365,0.4338,0.0679,0.1432,0.4443,0.8391
4587,species_2421,154,data/outputs/20260211_2122/elites.json,True,False,4,False,0.3537,0.0817,0.8517,0.364,0.0303,0.0673,0.4033,0.8391
4660,species_2421,157,data/outputs/20260211_2122/elites.json,True,True,0,True,0.3537,0.1022,0.8403,0.5259,0.0472,0.1147,0.4299,0.8297
4774,species_2421,164,data/outputs/20260211_2122/elites.json,True,False,3,False,0.4103,0.1016,0.854,0.3434,0.0296,0.1222,0.5014,0.8394
4911,species_2421,174,data/outputs/20260211_2122/elites.json,True,False,3,False,0.3537,0.0883,0.8403,0.4005,0.0351,0.0838,0.4646,0.8204
4957,species_2421,176,data/outputs/20260211_2122/elites.json,True,False,1,False,0.3537,0.0958,0.8585,0.4945,0.0256,0.1028,0.4443,0.8391
4961,species_2421,176,data/outputs/20260211_2122/elites.json,True,False,1,False,0.459,0.168,0.8697,0.3517,0.0556,0.1546,0.4798,0.8391
4977,species_2421,177,data/outputs/20260211_2122/elites.json,True,False,3,False,0.4479,0.1022,0.854,0.3552,0.032,0.1356,0.4443,0.8394
4978,species_2421,177,data/outputs/20260211_2122/elites.json,True,False,1,False,0.4519,0.1022,0.9029,0.42,0.0495,0.1483,0.5014,0.8723
4996,species_2421,178,data/outputs/20260211_2122/elites.json,True,False,2,False,0.3537,0.0958,0.8517,0.396,0.0393,0.1394,0.4646,0.8132
5013,species_2421,179,data/outputs/20260211_2122/elites.json,True,False,1,False,0.459,0.1022,0.8779,0.4717,0.0348,0.1673,0.4744,0.8394
