mode,run_id,wall_s,total_integrated,throughput_integrated_per_s,qmax_tracker,max_total_genomes
sequential,20260406_0115,42388.42,1020,0.02406317574469631,0.3902,1000
sequential,20260407_0142,46005.64,1009,0.021932093543313387,0.6853,1000
sequential,20260407_1428,41818.56,1004,0.024008478532020233,0.3812,1000
sequential,20260408_0206,45947.43,1003,0.021829294913774284,0.4493,1000
sequential,20260409_0354,47577.89,1002,0.021060202543660513,0.3758,1000
sequential,20260409_1707,45991.78,1027,0.02233007724423799,0.3734,1000
sequential,20260410_1929,42091.92,1005,0.02387631640466864,0.3967,1000
parallel_2w,20260407_0817,25233.79,1017,0.04030310151586424,0.4213,1000
parallel_2w,20260407_1721,32289.13,1027,0.031806369511968885,0.3812,1000
parallel_2w,20260409_0120,24112.31,1005,0.04167995517642233,0.4457,1000
parallel_2w,20260410_1709,25034.73,1003,0.04006434261523891,0.3625,1000
parallel_2w,20260411_0006,24582.95,1008,0.041004029215370816,0.5627,1000
parallel_2w,20260411_2027,25056.4,1014,0.04046870260691879,0.3999,1000
parallel_2w,20260412_1345,25363.85,1015,0.04001758408128104,0.3923,1000
