evaluated_genomes_milestone,n_sequential,median_sequential,q25_sequential,q75_sequential,n_parallel_2w,median_parallel_2w,q25_parallel_2w,q75_parallel_2w,n_parallel_4w,median_parallel_4w,q25_parallel_4w,q75_parallel_4w
0,7,14.0,14.0,14.0,7,14.0,14.0,14.0,7,12.0,12.0,12.0
100,7,14.0,14.0,14.0,7,14.0,14.0,14.0,7,12.0,12.0,12.0
200,7,6.0,4.5,16.5,7,19.0,16.0,20.0,7,17.0,14.5,17.0
300,7,10.0,6.5,10.5,7,17.0,11.5,19.0,7,15.0,9.5,18.5
400,7,21.0,14.5,24.5,7,19.0,18.5,25.0,7,21.0,19.5,23.0
500,7,21.0,20.0,23.0,7,21.0,12.5,27.5,7,24.0,20.5,30.0
600,7,20.0,16.0,23.5,7,23.0,15.5,27.5,7,29.0,23.0,37.0
700,7,21.0,19.0,22.5,7,29.0,28.0,37.5,7,30.0,28.5,41.0
800,7,19.0,15.5,20.5,7,31.0,30.5,40.0,7,32.0,25.0,37.0
900,7,24.0,20.0,29.0,7,29.0,11.0,37.0,7,36.0,26.0,44.0
1000,7,27.0,20.5,30.0,7,36.0,19.0,43.5,7,41.0,29.5,46.5
