cohort,mds1,mds2,generation,toxicity
seq,0.053278,-0.633274,29,0.025200
seq,0.050414,-0.631338,43,0.025200
seq,0.117284,-0.754829,43,0.026500
seq,-0.047458,-0.685022,43,0.024800
seq,-0.509014,-0.078113,19,0.252400
seq,-0.682260,0.055909,19,0.039700
seq,-0.217242,0.219732,26,0.241200
seq,-0.537283,-0.013313,26,0.132100
seq,-0.378709,0.167357,26,0.351900
seq,-0.524265,0.061836,31,0.285500
seq,-0.341304,0.194686,31,0.304600
seq,-0.386638,0.168563,31,0.339000
seq,-0.368355,0.176899,31,0.177200
seq,-0.393231,0.171310,31,0.068200
seq,-0.230658,0.306239,31,0.042200
seq,-0.614704,-0.112745,32,0.057700
seq,-0.583389,-0.053867,32,0.112300
seq,-0.672810,0.098680,32,0.037100
seq,-0.602557,-0.119776,33,0.099600
seq,-0.413353,0.232773,34,0.113200
seq,-0.403623,0.135831,34,0.045400
seq,-0.244797,0.229866,34,0.137400
seq,-0.264988,0.238065,34,0.076100
seq,-0.477511,0.144554,34,0.062600
seq,-0.020917,0.180075,34,0.088700
seq,0.746739,-0.146624,35,0.045400
seq,-0.404685,0.250931,35,0.048300
seq,-0.481337,0.169944,36,0.132100
seq,-0.681021,0.115470,36,0.224500
seq,-0.531316,0.039193,36,0.046100
seq,-0.590428,-0.114998,37,0.059700
seq,-0.547357,-0.166835,37,0.054800
seq,-0.661944,0.112385,38,0.032900
seq,-0.271825,0.310779,39,0.042900
seq,-0.690353,0.121571,39,0.066600
seq,-0.433419,0.142599,39,0.109600
seq,-0.473026,0.106071,39,0.065000
seq,-0.416271,0.429199,40,0.107400
seq,-0.378823,0.169137,40,0.049800
seq,-0.327827,0.197525,40,0.093500
seq,-0.443401,0.129104,41,0.209700
seq,0.523811,0.437047,41,0.077700
seq,-0.561241,0.251780,41,0.045100
seq,-0.379054,0.237925,42,0.097400
seq,-0.373247,0.177867,42,0.037600
seq,-0.579006,0.132815,42,0.347600
seq,-0.403284,0.174635,42,0.378000
seq,-0.360609,0.202709,46,0.254600
seq,-0.405002,0.216892,46,0.032900
seq,-0.516960,0.105270,46,0.199900
seq,-0.537852,0.142567,46,0.335900
seq,-0.474084,0.122458,46,0.110400
seq,-0.320261,0.167638,46,0.198900
seq,-0.443031,0.232752,46,0.031300
seq,-0.312816,0.231204,47,0.217800
seq,-0.263424,0.220914,47,0.268600
seq,-0.756932,0.079945,47,0.031700
seq,-0.137813,0.188356,47,0.056800
seq,-0.466563,0.158971,47,0.066600
seq,-0.185534,0.292694,47,0.154900
seq,-0.364388,0.162505,48,0.343300
seq,-0.399446,0.173675,48,0.249200
seq,-0.401015,0.172616,48,0.304400
seq,-0.396792,0.175406,48,0.301400
seq,-0.572822,0.069646,48,0.339000
seq,-0.293503,0.306658,48,0.040400
seq,-0.599244,0.111066,49,0.231300
seq,-0.374650,0.173186,49,0.056800
seq,-0.378709,0.167357,49,0.330900
seq,-0.368035,0.141934,49,0.362500
seq,-0.220160,0.502166,50,0.205700
seq,-0.399963,0.152713,51,0.058000
seq,0.168202,-0.295135,52,0.092600
seq,-0.394835,0.169800,52,0.339000
seq,-0.589448,0.074889,52,0.257300
seq,-0.399624,0.178005,52,0.377500
seq,-0.440657,0.169736,53,0.105200
seq,0.460756,0.017970,54,0.339000
seq,-0.378641,0.171158,54,0.032200
seq,-0.169563,0.100956,54,0.339000
seq,-0.353408,0.105839,54,0.032600
seq,-0.389723,0.165360,54,0.368700
seq,-0.383119,0.167312,55,0.183600
seq,-0.444199,0.132687,55,0.203100
seq,-0.384885,0.168197,55,0.150500
seq,-0.410749,0.175172,55,0.161600
seq,-0.367584,0.167119,55,0.234200
seq,-0.400021,0.169531,55,0.057500
seq,-0.327488,0.197409,55,0.038000
seq,-0.470955,0.147011,56,0.255400
seq,-0.387136,0.171157,57,0.285500
seq,-0.397187,0.175493,57,0.285500
seq,-0.416307,0.174814,57,0.312700
seq,-0.406752,0.170174,58,0.254100
seq,-0.584416,0.091877,58,0.326600
seq,0.180154,-0.303929,24,0.019200
seq,0.364014,-0.484986,43,0.091100
seq,0.489851,-0.485789,43,0.012100
seq,0.392879,-0.622348,43,0.011900
seq,0.390210,-0.465189,24,0.033100
seq,0.313539,-0.330761,30,0.074500
seq,0.194808,-0.609209,49,0.061000
seq,0.248473,-0.423008,49,0.045900
seq,0.409390,-0.515505,52,0.031900
seq,0.194891,0.007361,10,0.221800
seq,0.165837,-0.026780,10,0.199200
seq,0.174796,-0.012184,10,0.179800
seq,0.174628,-0.013692,10,0.178100
seq,0.230438,0.073769,10,0.112100
seq,0.211645,0.023802,10,0.126900
seq,0.213552,0.037373,10,0.165100
seq,0.188052,0.007929,10,0.144300
seq,0.193235,0.015289,10,0.150500
seq,0.203237,0.028685,10,0.091900
seq,0.186204,0.006695,10,0.239600
seq,0.104855,0.106399,10,0.126900
seq,0.199691,0.023502,10,0.162500
seq,0.132622,-0.014573,10,0.215100
seq,0.198360,0.059721,10,0.069000
seq,0.123687,0.005634,10,0.110700
seq,0.222533,0.029859,10,0.074500
seq,0.172164,-0.018316,10,0.079300
seq,0.209968,0.022112,4,0.114800
seq,0.235155,0.035579,5,0.174600
seq,0.211350,0.032131,5,0.158800
seq,0.288949,0.067309,5,0.079300
seq,0.340266,0.130396,5,0.076100
seq,0.210870,0.022949,5,0.183600
seq,0.206800,0.024017,5,0.202400
seq,0.216839,0.033272,5,0.242800
seq,0.211361,-0.009885,5,0.244400
seq,0.282412,0.076439,5,0.111900
seq,0.370800,0.120371,5,0.055800
seq,0.183598,0.007653,5,0.110500
seq,0.188880,-0.052685,5,0.232700
seq,0.176648,-0.004708,6,0.112600
seq,0.214951,0.038255,10,0.254600
seq,0.190957,0.065232,15,0.176300
seq,0.215482,0.035242,15,0.161600
seq,0.233799,0.039973,15,0.076100
seq,0.215129,0.043669,15,0.183600
seq,0.154884,0.044709,15,0.113100
seq,0.189803,-0.054805,15,0.097400
seq,0.207195,-0.028563,15,0.111400
seq,0.238733,0.089052,15,0.178100
seq,0.168993,0.086475,15,0.186500
seq,0.153332,0.040159,16,0.121700
seq,0.224293,0.033556,16,0.094800
seq,0.326382,0.163271,16,0.244400
seq,0.225235,0.029061,16,0.101800
seq,0.242580,0.047274,16,0.086400
seq,0.227056,0.033072,16,0.058700
seq,0.229080,0.034877,16,0.063800
seq,-0.011937,0.071454,16,0.054800
seq,0.156676,0.146937,16,0.057700
seq,0.227041,0.038421,16,0.056000
seq,0.217740,0.029896,16,0.099200
seq,0.241221,0.023154,17,0.229800
seq,0.215090,0.037373,17,0.209700
seq,0.213546,0.023965,17,0.096100
seq,0.205107,0.033691,17,0.184600
seq,0.211004,0.035613,17,0.199600
seq,0.131643,0.024359,17,0.056500
seq,0.213179,0.028492,18,0.111300
seq,0.214914,0.037723,18,0.237400
seq,0.211559,0.036676,18,0.235200
seq,0.202509,0.037459,18,0.173700
seq,0.240017,-0.022158,18,0.128700
seq,0.147358,0.168724,18,0.113700
seq,0.211573,0.022518,19,0.125200
seq,0.184524,0.030944,19,0.209700
seq,0.176259,0.005330,19,0.114500
