analysis_group,run_id,evaluated_genomes_milestone,species_count
c1_toxsearch_s,20260406_0115,0,14.0
c1_toxsearch_s,20260406_0115,100,14.0
c1_toxsearch_s,20260406_0115,200,15.0
c1_toxsearch_s,20260406_0115,300,10.0
c1_toxsearch_s,20260406_0115,400,11.0
c1_toxsearch_s,20260406_0115,500,20.0
c1_toxsearch_s,20260406_0115,600,20.0
c1_toxsearch_s,20260406_0115,700,21.0
c1_toxsearch_s,20260406_0115,800,15.0
c1_toxsearch_s,20260406_0115,900,19.0
c1_toxsearch_s,20260406_0115,1000,18.0
c1_toxsearch_s,20260407_0142,0,14.0
c1_toxsearch_s,20260407_0142,100,14.0
c1_toxsearch_s,20260407_0142,200,5.0
c1_toxsearch_s,20260407_0142,300,10.0
c1_toxsearch_s,20260407_0142,400,18.0
c1_toxsearch_s,20260407_0142,500,20.0
c1_toxsearch_s,20260407_0142,600,19.0
c1_toxsearch_s,20260407_0142,700,18.0
c1_toxsearch_s,20260407_0142,800,21.0
c1_toxsearch_s,20260407_0142,900,24.0
c1_toxsearch_s,20260407_0142,1000,23.0
c1_toxsearch_s,20260407_1428,0,14.0
c1_toxsearch_s,20260407_1428,100,14.0
c1_toxsearch_s,20260407_1428,200,2.0
c1_toxsearch_s,20260407_1428,300,2.0
c1_toxsearch_s,20260407_1428,400,25.0
c1_toxsearch_s,20260407_1428,500,26.0
c1_toxsearch_s,20260407_1428,600,26.0
c1_toxsearch_s,20260407_1428,700,12.0
c1_toxsearch_s,20260407_1428,800,10.0
c1_toxsearch_s,20260407_1428,900,12.0
c1_toxsearch_s,20260407_1428,1000,17.0
c1_toxsearch_s,20260408_0206,0,14.0
c1_toxsearch_s,20260408_0206,100,14.0
c1_toxsearch_s,20260408_0206,200,4.0
c1_toxsearch_s,20260408_0206,300,7.0
c1_toxsearch_s,20260408_0206,400,26.0
c1_toxsearch_s,20260408_0206,500,1.0
c1_toxsearch_s,20260408_0206,600,5.0
c1_toxsearch_s,20260408_0206,700,32.0
c1_toxsearch_s,20260408_0206,800,32.0
c1_toxsearch_s,20260408_0206,900,35.0
c1_toxsearch_s,20260408_0206,1000,36.0
c1_toxsearch_s,20260409_0354,0,14.0
c1_toxsearch_s,20260409_0354,100,14.0
c1_toxsearch_s,20260409_0354,200,6.0
c1_toxsearch_s,20260409_0354,300,6.0
c1_toxsearch_s,20260409_0354,400,24.0
c1_toxsearch_s,20260409_0354,500,25.0
c1_toxsearch_s,20260409_0354,600,13.0
c1_toxsearch_s,20260409_0354,700,22.0
c1_toxsearch_s,20260409_0354,800,16.0
c1_toxsearch_s,20260409_0354,900,28.0
