metric,p_kruskal,a,b,p_mwu,p_holm,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi
final_species_count,0.002657201489146814,sequential,parallel_2w,0.3040129970593999,0.3040129970593999,0.3469387755102041,-0.2857142857142857,0.8367346938775511
final_species_count,0.002657201489146814,sequential,parallel_4w,0.004796827719835159,0.014390483159505477,-0.9183673469387755,-1.0,-0.673469387755102
final_species_count,0.002657201489146814,parallel_2w,parallel_4w,0.004796827719835159,0.014390483159505477,-0.9183673469387755,-1.0,-0.6326530612244898
final_active_species,0.002657201489146814,sequential,parallel_2w,0.3040129970593999,0.3040129970593999,0.3469387755102041,-0.2857142857142857,0.8367346938775511
final_active_species,0.002657201489146814,sequential,parallel_4w,0.004796827719835159,0.014390483159505477,-0.9183673469387755,-1.0,-0.673469387755102
final_active_species,0.002657201489146814,parallel_2w,parallel_4w,0.004796827719835159,0.014390483159505477,-0.9183673469387755,-1.0,-0.6326530612244898
total_speciation_events_tracker,0.0009840922071207292,sequential,parallel_2w,0.0005827505827505828,0.0017482517482517483,1.0,1.0,1.0
total_speciation_events_tracker,0.0009840922071207292,sequential,parallel_4w,0.0005827505827505828,0.0017482517482517483,1.0,1.0,1.0
total_speciation_events_tracker,0.0009840922071207292,parallel_2w,parallel_4w,0.3373725439387588,0.3373725439387588,-0.32653061224489793,-0.9591836734693877,0.32653061224489793
total_merge_events_tracker,nan,sequential,parallel_2w,1.0,1.0,0.0,0.0,0.0
total_merge_events_tracker,nan,sequential,parallel_4w,1.0,1.0,0.0,0.0,0.0
total_merge_events_tracker,nan,parallel_2w,parallel_4w,1.0,1.0,0.0,0.0,0.0
total_extinction_events_tracker,0.3678794411714319,sequential,parallel_2w,0.39136593830755195,1.0,0.14285714285714285,0.0,0.42857142857142855
total_extinction_events_tracker,0.3678794411714319,sequential,parallel_4w,0.39136593830755195,1.0,0.14285714285714285,0.0,0.42857142857142855
total_extinction_events_tracker,0.3678794411714319,parallel_2w,parallel_4w,1.0,1.0,0.0,0.0,0.0
n_species_with_toxicity,0.002602062464452,sequential,parallel_2w,0.27585039186443694,0.27585039186443694,0.3673469387755102,-0.24489795918367346,0.8571428571428571
n_species_with_toxicity,0.002602062464452,sequential,parallel_4w,0.004890624053570851,0.014671872160712553,-0.9183673469387755,-1.0,-0.673469387755102
n_species_with_toxicity,0.002602062464452,parallel_2w,parallel_4w,0.004890624053570851,0.014671872160712553,-0.9183673469387755,-1.0,-0.6326530612244898
mean_max_toxicity_per_species,0.10515507543659665,sequential,parallel_2w,0.31759906759906764,0.6351981351981353,0.3469387755102041,-0.2653061224489796,0.9183673469387755
mean_max_toxicity_per_species,0.10515507543659665,sequential,parallel_4w,0.026223776223776224,0.07867132867132867,0.7142857142857143,0.2653061224489796,1.0
mean_max_toxicity_per_species,0.10515507543659665,parallel_2w,parallel_4w,0.534965034965035,0.6351981351981353,0.22448979591836735,-0.46938775510204084,0.7959183673469388
global_max_toxicity,0.5461706820061782,sequential,parallel_2w,0.3828671328671329,1.0,0.30612244897959184,-0.3469387755102041,0.8367346938775511
global_max_toxicity,0.5461706820061782,sequential,parallel_4w,0.45571095571095577,1.0,0.2653061224489796,-0.42857142857142855,0.8367346938775511
global_max_toxicity,0.5461706820061782,parallel_2w,parallel_4w,0.7103729603729605,1.0,-0.14285714285714285,-0.7142857142857143,0.5102040816326531
