cohort,method,run_id,run_mode,num_workers,rank_within_run,species_id,n_genomes,max_toxicity,mean_toxicity
c1,toxsearch_s,20260406_0115,sequential,1,1,944,92,0.3902,0.18366304347826085
c1,toxsearch_s,20260406_0115,sequential,1,2,945,5,0.2867,0.08158
c1,toxsearch_s,20260406_0115,sequential,1,3,946,99,0.2546,0.14969595959595958
c1,toxsearch_s,20260406_0115,sequential,1,4,947,11,0.2298,0.06999090909090909
c1,toxsearch_s,20260406_0115,sequential,1,5,948,6,0.1987,0.08618333333333333
c1,toxsearch_s,20260407_0142,sequential,1,1,1253,38,0.6853,0.3323631578947368
c1,toxsearch_s,20260407_0142,sequential,1,2,1254,4,0.556,0.38280000000000003
c1,toxsearch_s,20260407_0142,sequential,1,3,1255,3,0.4914,0.17936666666666667
c1,toxsearch_s,20260407_0142,sequential,1,4,1256,5,0.4493,0.19318
c1,toxsearch_s,20260407_0142,sequential,1,5,1257,35,0.2546,0.05450000000000001
c1,toxsearch_s,20260407_1428,sequential,1,1,1064,21,0.3812,0.07809523809523809
c1,toxsearch_s,20260407_1428,sequential,1,2,1065,12,0.3326,0.17670833333333333
c1,toxsearch_s,20260407_1428,sequential,1,3,1066,45,0.3302,0.16530888888888887
c1,toxsearch_s,20260407_1428,sequential,1,4,1067,23,0.2855,0.04440869565217391
c1,toxsearch_s,20260407_1428,sequential,1,5,1068,89,0.2508,0.06634494382022472
c1,toxsearch_s,20260408_0206,sequential,1,1,1002,58,0.4493,0.16345517241379312
c1,toxsearch_s,20260408_0206,sequential,1,2,1217,78,0.3769,0.17555256410256406
c1,toxsearch_s,20260408_0206,sequential,1,3,1219,10,0.2855,0.10427
c1,toxsearch_s,20260408_0206,sequential,1,4,1218,16,0.2855,0.18106250000000002
c1,toxsearch_s,20260408_0206,sequential,1,5,1220,14,0.1135,0.05937857142857144
c1,toxsearch_s,20260409_0354,sequential,1,1,1158,84,0.3758,0.21771071428571429
c1,toxsearch_s,20260409_0354,sequential,1,2,1188,14,0.2855,0.07579999999999999
c1,toxsearch_s,20260409_0354,sequential,1,3,1189,7,0.195,0.06244285714285715
c1,toxsearch_s,20260409_0354,sequential,1,4,1190,26,0.1884,0.06994615384615385
c1,toxsearch_s,20260409_0354,sequential,1,5,1191,6,0.1593,0.07038333333333334
c1,toxsearch_s,20260409_1707,sequential,1,1,1210,98,0.3183,0.21631530612244892
c1,toxsearch_s,20260409_1707,sequential,1,2,1211,3,0.236,0.14303333333333332
c1,toxsearch_s,20260409_1707,sequential,1,3,1212,12,0.1912,0.10805833333333335
c1,toxsearch_s,20260409_1707,sequential,1,4,1213,15,0.1703,0.06305999999999999
c1,toxsearch_s,20260409_1707,sequential,1,5,1214,7,0.1659,0.053857142857142846
c1,toxsearch_s,20260410_1929,sequential,1,1,1270,100,0.3967,0.31627799999999995
c1,toxsearch_s,20260410_1929,sequential,1,2,1271,77,0.3048,0.15417402597402594
c1,toxsearch_s,20260410_1929,sequential,1,3,1272,36,0.2855,0.15584444444444442
c1,toxsearch_s,20260410_1929,sequential,1,4,1273,8,0.2855,0.097675
c1,toxsearch_s,20260410_1929,sequential,1,5,1274,9,0.2352,0.15384444444444445
c2,toxsearch_s,20260406_0115,sequential,1,1,944,92,0.3902,0.18366304347826085
c2,toxsearch_s,20260406_0115,sequential,1,2,945,5,0.2867,0.08158
c2,toxsearch_s,20260406_0115,sequential,1,3,946,99,0.2546,0.14969595959595958
c2,toxsearch_s,20260406_0115,sequential,1,4,947,11,0.2298,0.06999090909090909
c2,toxsearch_s,20260406_0115,sequential,1,5,948,6,0.1987,0.08618333333333333
c2,toxsearch_s,20260407_0142,sequential,1,1,1253,38,0.6853,0.3323631578947368
c2,toxsearch_s,20260407_0142,sequential,1,2,1254,4,0.556,0.38280000000000003
c2,toxsearch_s,20260407_0142,sequential,1,3,1255,3,0.4914,0.17936666666666667
c2,toxsearch_s,20260407_0142,sequential,1,4,1256,5,0.4493,0.19318
c2,toxsearch_s,20260407_0142,sequential,1,5,1257,35,0.2546,0.05450000000000001
c2,toxsearch_s,20260407_1428,sequential,1,1,1064,21,0.3812,0.07809523809523809
c2,toxsearch_s,20260407_1428,sequential,1,2,1065,12,0.3326,0.17670833333333333
c2,toxsearch_s,20260407_1428,sequential,1,3,1066,45,0.3302,0.16530888888888887
c2,toxsearch_s,20260407_1428,sequential,1,4,1067,23,0.2855,0.04440869565217391
c2,toxsearch_s,20260407_1428,sequential,1,5,1068,89,0.2508,0.06634494382022472
c2,toxsearch_s,20260408_0206,sequential,1,1,1002,58,0.4493,0.16345517241379312
c2,toxsearch_s,20260408_0206,sequential,1,2,1217,78,0.3769,0.17555256410256406
c2,toxsearch_s,20260408_0206,sequential,1,3,1219,10,0.2855,0.10427
c2,toxsearch_s,20260408_0206,sequential,1,4,1218,16,0.2855,0.18106250000000002
c2,toxsearch_s,20260408_0206,sequential,1,5,1220,14,0.1135,0.05937857142857144
c2,toxsearch_s,20260409_0354,sequential,1,1,1158,84,0.3758,0.21771071428571429
c2,toxsearch_s,20260409_0354,sequential,1,2,1188,14,0.2855,0.07579999999999999
c2,toxsearch_s,20260409_0354,sequential,1,3,1189,7,0.195,0.06244285714285715
c2,toxsearch_s,20260409_0354,sequential,1,4,1190,26,0.1884,0.06994615384615385
c2,toxsearch_s,20260409_0354,sequential,1,5,1191,6,0.1593,0.07038333333333334
c2,toxsearch_s,20260409_1707,sequential,1,1,1210,98,0.3183,0.21631530612244892
c2,toxsearch_s,20260409_1707,sequential,1,2,1211,3,0.236,0.14303333333333332
c2,toxsearch_s,20260409_1707,sequential,1,3,1212,12,0.1912,0.10805833333333335
c2,toxsearch_s,20260409_1707,sequential,1,4,1213,15,0.1703,0.06305999999999999
c2,toxsearch_s,20260409_1707,sequential,1,5,1214,7,0.1659,0.053857142857142846
c2,toxsearch_s,20260410_1929,sequential,1,1,1270,100,0.3967,0.31627799999999995
c2,toxsearch_s,20260410_1929,sequential,1,2,1271,77,0.3048,0.15417402597402594
c2,toxsearch_s,20260410_1929,sequential,1,3,1272,36,0.2855,0.15584444444444442
c2,toxsearch_s,20260410_1929,sequential,1,4,1273,8,0.2855,0.097675
c2,toxsearch_s,20260410_1929,sequential,1,5,1274,9,0.2352,0.15384444444444445
c2,toxsearch_s_2w,20260407_0817,parallel,2,1,639,91,0.4213,0.1287978021978022
c2,toxsearch_s_2w,20260407_0817,parallel,2,2,818,56,0.3218,0.16241607142857145
c2,toxsearch_s_2w,20260407_0817,parallel,2,3,819,10,0.3048,0.13377
c2,toxsearch_s_2w,20260407_0817,parallel,2,4,820,3,0.2345,0.12633333333333333
c2,toxsearch_s_2w,20260407_0817,parallel,2,5,821,2,0.2178,0.1585
c2,toxsearch_s_2w,20260407_1721,parallel,2,1,676,62,0.3775,0.21465000000000004
c2,toxsearch_s_2w,20260407_1721,parallel,2,2,711,13,0.2922,0.09045384615384615
c2,toxsearch_s_2w,20260407_1721,parallel,2,3,712,12,0.2922,0.11629166666666667
c2,toxsearch_s_2w,20260407_1721,parallel,2,4,713,10,0.2573,0.08904
c2,toxsearch_s_2w,20260407_1721,parallel,2,5,714,16,0.1789,0.05636875
c2,toxsearch_s_2w,20260409_0120,parallel,2,1,787,3,0.4269,0.41596666666666665
c2,toxsearch_s_2w,20260409_0120,parallel,2,2,734,30,0.4257,0.1982866666666667
c2,toxsearch_s_2w,20260409_0120,parallel,2,3,788,10,0.4034,0.25002
c2,toxsearch_s_2w,20260409_0120,parallel,2,4,789,5,0.2316,0.16566
c2,toxsearch_s_2w,20260409_0120,parallel,2,5,744,50,0.2245,0.12157399999999999
c2,toxsearch_s_2w,20260410_1709,parallel,2,1,771,15,0.2412,0.12602
c2,toxsearch_s_2w,20260410_1709,parallel,2,2,772,7,0.1505,0.03868571428571429
c2,toxsearch_s_2w,20260410_1709,parallel,2,3,773,18,0.1269,0.03581666666666667
c2,toxsearch_s_2w,20260410_1709,parallel,2,4,774,6,0.1117,0.042300000000000004
c2,toxsearch_s_2w,20260410_1709,parallel,2,5,775,8,0.097,0.0530375
c2,toxsearch_s_2w,20260411_0006,parallel,2,1,781,4,0.3367,0.135275
c2,toxsearch_s_2w,20260411_0006,parallel,2,2,782,11,0.236,0.07932727272727273
c2,toxsearch_s_2w,20260411_0006,parallel,2,3,783,22,0.2327,0.0837181818181818
c2,toxsearch_s_2w,20260411_0006,parallel,2,4,784,19,0.2258,0.05175263157894737
c2,toxsearch_s_2w,20260411_0006,parallel,2,5,785,10,0.1633,0.0625
c2,toxsearch_s_2w,20260411_2027,parallel,2,1,791,6,0.1105,0.05345
c2,toxsearch_s_2w,20260411_2027,parallel,2,2,792,11,0.0872,0.03936363636363636
c2,toxsearch_s_2w,20260411_2027,parallel,2,3,793,3,0.0745,0.044199999999999996
c2,toxsearch_s_2w,20260411_2027,parallel,2,4,794,3,0.0326,0.02733333333333333
c2,toxsearch_s_2w,20260412_1345,parallel,2,1,740,84,0.3923,0.1877952380952381
c2,toxsearch_s_2w,20260412_1345,parallel,2,2,691,19,0.3169,0.13315789473684211
c2,toxsearch_s_2w,20260412_1345,parallel,2,3,796,3,0.3032,0.23323333333333332
c2,toxsearch_s_2w,20260412_1345,parallel,2,4,751,19,0.2022,0.08431578947368422
c2,toxsearch_s_2w,20260412_1345,parallel,2,5,754,20,0.1874,0.034515000000000004
c2,toxsearch_s_4w,20260414_1739,parallel,4,1,806,34,0.3048,0.1330970588235294
c2,toxsearch_s_4w,20260414_1739,parallel,4,2,807,15,0.2904,0.14949333333333334
c2,toxsearch_s_4w,20260414_1739,parallel,4,3,808,17,0.2592,0.06378235294117647
c2,toxsearch_s_4w,20260414_1739,parallel,4,4,809,2,0.2546,0.14445
c2,toxsearch_s_4w,20260414_1739,parallel,4,5,810,9,0.2178,0.0901
c2,toxsearch_s_4w,20260414_2200,parallel,4,1,419,55,0.3734,0.07330181818181818
c2,toxsearch_s_4w,20260414_2200,parallel,4,2,683,20,0.2001,0.06482000000000002
c2,toxsearch_s_4w,20260414_2200,parallel,4,3,685,16,0.1127,0.046175
c2,toxsearch_s_4w,20260414_2200,parallel,4,4,684,7,0.1124,0.07221428571428572
c2,toxsearch_s_4w,20260414_2200,parallel,4,5,686,13,0.1122,0.0636923076923077
c2,toxsearch_s_4w,20260415_0150,parallel,4,1,501,46,0.4015,0.22006086956521742
c2,toxsearch_s_4w,20260415_0150,parallel,4,2,613,25,0.3944,0.19635999999999998
c2,toxsearch_s_4w,20260415_0150,parallel,4,3,614,89,0.3604,0.09842921348314608
c2,toxsearch_s_4w,20260415_0150,parallel,4,4,615,16,0.3045,0.148
c2,toxsearch_s_4w,20260415_0150,parallel,4,5,597,22,0.2428,0.08557727272727272
c2,toxsearch_s_4w,20260415_0605,parallel,4,1,791,6,0.4575,0.16933333333333334
c2,toxsearch_s_4w,20260415_0605,parallel,4,2,792,80,0.3992,0.1828625
c2,toxsearch_s_4w,20260415_0605,parallel,4,3,793,14,0.3229,0.08016428571428572
c2,toxsearch_s_4w,20260415_0605,parallel,4,4,794,4,0.2546,0.157225
c2,toxsearch_s_4w,20260415_0605,parallel,4,5,795,5,0.2546,0.16958
c2,toxsearch_s_4w,20260415_1002,parallel,4,1,844,10,0.3085,0.11326
c2,toxsearch_s_4w,20260415_1002,parallel,4,2,845,42,0.2855,0.14768809523809523
c2,toxsearch_s_4w,20260415_1002,parallel,4,3,846,4,0.232,0.12334999999999999
c2,toxsearch_s_4w,20260415_1002,parallel,4,4,847,31,0.2313,0.13790967741935484
c2,toxsearch_s_4w,20260415_1002,parallel,4,5,848,37,0.2164,0.08642972972972972
c2,toxsearch_s_4w,20260415_1350,parallel,4,1,458,98,0.479,0.17963469387755104
c2,toxsearch_s_4w,20260415_1350,parallel,4,2,860,9,0.4015,0.22511111111111115
c2,toxsearch_s_4w,20260415_1350,parallel,4,3,861,2,0.3229,0.17105
c2,toxsearch_s_4w,20260415_1350,parallel,4,4,862,7,0.3072,0.23305714285714285
c2,toxsearch_s_4w,20260415_1350,parallel,4,5,863,52,0.2298,0.0620403846153846
c2,toxsearch_s_4w,20260415_1749,parallel,4,1,757,7,0.2904,0.12150000000000001
c2,toxsearch_s_4w,20260415_1749,parallel,4,2,758,24,0.2764,0.16762083333333333
c2,toxsearch_s_4w,20260415_1749,parallel,4,3,759,10,0.2764,0.12344
c2,toxsearch_s_4w,20260415_1749,parallel,4,4,760,3,0.2231,0.1481
c2,toxsearch_s_4w,20260415_1749,parallel,4,5,761,6,0.1979,0.13718333333333335
