cohort,method,run_id,run_mode,num_workers,n_species_with_toxicity,top1_species_id,top1_max_toxicity,topk,topk_mean_max_toxicity
c1,toxsearch_s,20260406_0115,sequential,1,18,944,0.3902,5,0.27199999999999996
c1,toxsearch_s,20260407_0142,sequential,1,25,1253,0.6853,5,0.48732
c1,toxsearch_s,20260407_1428,sequential,1,31,1064,0.3812,5,0.31605999999999995
c1,toxsearch_s,20260408_0206,sequential,1,15,1002,0.4493,5,0.30213999999999996
c1,toxsearch_s,20260409_0354,sequential,1,13,1158,0.3758,5,0.24080000000000004
c1,toxsearch_s,20260409_1707,sequential,1,23,1210,0.3183,5,0.21634000000000003
c1,toxsearch_s,20260410_1929,sequential,1,19,1270,0.3967,5,0.30154000000000003
c2,toxsearch_s,20260406_0115,sequential,1,18,944,0.3902,5,0.27199999999999996
c2,toxsearch_s,20260407_0142,sequential,1,25,1253,0.6853,5,0.48732
c2,toxsearch_s,20260407_1428,sequential,1,31,1064,0.3812,5,0.31605999999999995
c2,toxsearch_s,20260408_0206,sequential,1,15,1002,0.4493,5,0.30213999999999996
c2,toxsearch_s,20260409_0354,sequential,1,13,1158,0.3758,5,0.24080000000000004
c2,toxsearch_s,20260409_1707,sequential,1,23,1210,0.3183,5,0.21634000000000003
c2,toxsearch_s,20260410_1929,sequential,1,19,1270,0.3967,5,0.30154000000000003
c2,toxsearch_s_2w,20260407_0817,parallel,2,19,639,0.4213,5,0.30004
c2,toxsearch_s_2w,20260407_1721,parallel,2,23,676,0.3775,5,0.27962
c2,toxsearch_s_2w,20260409_0120,parallel,2,14,787,0.4269,5,0.34242
c2,toxsearch_s_2w,20260410_1709,parallel,2,11,771,0.2412,5,0.14545999999999998
c2,toxsearch_s_2w,20260411_0006,parallel,2,28,781,0.3367,5,0.23890000000000003
c2,toxsearch_s_2w,20260411_2027,parallel,2,4,791,0.1105,5,0.0762
c2,toxsearch_s_2w,20260412_1345,parallel,2,13,740,0.3923,5,0.2804
c2,toxsearch_s_4w,20260414_1739,parallel,4,38,806,0.3048,5,0.26536
c2,toxsearch_s_4w,20260414_2200,parallel,4,27,419,0.3734,5,0.18216
c2,toxsearch_s_4w,20260415_0150,parallel,4,41,501,0.4015,5,0.34072
c2,toxsearch_s_4w,20260415_0605,parallel,4,40,791,0.4575,5,0.33775999999999995
c2,toxsearch_s_4w,20260415_1002,parallel,4,47,844,0.3085,5,0.25473999999999997
c2,toxsearch_s_4w,20260415_1350,parallel,4,27,458,0.479,5,0.34808
c2,toxsearch_s_4w,20260415_1749,parallel,4,48,757,0.2904,5,0.25284
