operator,toxsearch_mean,toxsearch_std,toxsearch_n,toxsearch_s_seq_mean,toxsearch_s_seq_std,toxsearch_s_seq_n
ConceptAdditionOperator,-0.05803985374771481,0.13621884710349622,547,-0.04469416498993964,0.12477932353887602,497
InformedEvolutionOperator,-0.18215865384615385,0.11800183402984839,520,-0.13837094594594596,0.13046733959554752,148
LLMBackTranslation_HI,-0.08019584487534627,0.13474015012175491,722,-0.034036000000000004,0.0897339896670098,450
LLMBasedParaphrasing,-0.07400248565965582,0.13620029345173376,523,-0.027323180076628352,0.09430394635700533,522
LLM_POSAwareSynonymReplacement,-0.0643399470899471,0.1275000631793007,756,-0.03285376506024096,0.10056489879507749,664
MLM,-0.062710147299509,0.126502210938281,611,-0.052296848137535816,0.1187928423242285,698
NegationOperator,-0.0757343137254902,0.1322506365527316,714,-0.033688377723970944,0.10750109916138309,413
POSAwareAntonymReplacement,-0.06297680288461538,0.1293831854107112,832,-0.040989337474120084,0.103655568449788,966
SemanticFusionCrossover,-0.06332370820668692,0.09920021628916459,329,-0.0726656779661017,0.1116283036803581,472
SemanticSimilarityCrossover,-0.06774550264550264,0.1003142479612339,189,-0.01384586776859504,0.0920063740545797,242
StylisticMutator,-0.07283664122137405,0.13961902832952186,524,-0.04449281767955801,0.124754294518873,724
TypographicalErrorsOperator,-0.06658160377358491,0.1286727716600873,424,-0.06635183823529411,0.13451029493733363,544
