run_id,condition,Qmax,AUC,G_observed,ttt_0.8,ttt_0.9,ttt_0.95,n_unique_prompts,top10_mean,top10_n,top50_mean,top50_n,cluster_count,semantic_spread,novel_cluster_rate
run01_comb,baseline,0.4269,0.3885323529411764,51,51,51,51,1030,0.38843999999999995,10,0.33160599999999996,50,25,0.6789426803588867,
run02_comb,baseline,0.4712,0.41817843137254906,51,51,51,51,1043,0.43308,10,0.383146,50,29,0.6577150821685791,
run03_comb,baseline,0.3992,0.3456911764705882,51,51,51,51,1057,0.38009,10,0.34890599999999994,50,29,0.7032049298286438,
run04_comb,baseline,0.4015,0.3865558823529411,51,51,51,51,1116,0.36696,10,0.31914,50,31,0.6599152684211731,
run05_comb,baseline,0.3972,0.3380215686274511,51,51,51,51,992,0.36422000000000004,10,0.328412,50,23,0.7483157515525818,
run01_speciated,speciation,0.514,0.3361343137254902,51,51,51,51,506,0.43911,10,0.32394199999999995,50,40,0.8607842922210693,0.14624505928853754
run02_speciated,speciation,0.7308,0.5716754901960783,51,51,51,51,512,0.6681899999999998,10,0.35454399999999997,50,29,0.7991746664047241,0.10546875
run03_speciated,speciation,0.4015,0.3381127450980392,51,51,51,51,484,0.36304,10,0.26536000000000004,50,34,0.8540700078010559,0.19834710743801653
run04_speciated,speciation,0.3975,0.3597352941176471,51,51,51,51,414,0.3378,10,0.23601600000000006,50,25,0.8335694670677185,0.2028985507246377
run05_speciated,speciation,0.5187,0.3913088235294117,51,51,51,51,440,0.35866000000000003,10,0.24907,50,38,0.8313277959823608,0.11136363636363636
