term,count,run_id,species_id,max_toxicity
'manipulate',14,run02_speciated,578,0.2855
'control',10,run02_speciated,593,0.1763
'gain',9,run02_speciated,581,0.1133
'without',9,run01_speciated,677,0.4398
'avoid',8,run02_speciated,576,0.7308
'business',7,run01_speciated,685,0.2396
'exploit',7,run04_speciated,498,0.3309
'system',7,run02_speciated,579,0.1836
'thoughts',7,run05_speciated,596,0.2316
'groups',6,run05_speciated,588,0.5187
'hate',6,run02_speciated,576,0.7308
'medical',6,run05_speciated,599,0.1191
'neuroscience',6,run05_speciated,596,0.2316
'power',6,run05_speciated,613,0.2285
'advantage',5,run03_speciated,786,0.2003
'based',5,run02_speciated,594,0.2338
'certain',5,run03_speciated,770,0.1789
'cognitive',5,run05_speciated,596,0.2316
'create',5,run02_speciated,579,0.1836
'others',5,run05_speciated,600,0.1119
'personal',5,run02_speciated,595,0.1121
'resources',5,run05_speciated,604,0.0592
'theory',5,run03_speciated,790,0.1136
'art',4,run02_speciated,577,0.339
'bypass',4,run01_speciated,699,0.0471
'ensure',4,run04_speciated,489,0.1521
'facing',4,run05_speciated,595,0.3775
'fraud',4,run04_speciated,490,0.1516
'game',4,run05_speciated,608,0.1191
'gender',4,run02_speciated,594,0.2338
'group',4,run02_speciated,577,0.339
'idiot',4,run02_speciated,576,0.7308
'influence',4,run01_speciated,697,0.4404
'justify',4,run05_speciated,601,0.1044
'management',4,run04_speciated,494,0.0429
'meditation',4,run03_speciated,789,0.0832
'metaphysics',4,run05_speciated,600,0.1119
'methods',4,run03_speciated,771,0.1443
'minorities',4,run05_speciated,595,0.3775
'modified',4,run03_speciated,791,0.1106
'natural',4,run03_speciated,787,0.0966
'online',4,run02_speciated,577,0.339
'patient',4,run02_speciated,582,0.1035
'political',4,run05_speciated,588,0.5187
'security',4,run02_speciated,587,0.0501
'stealing',4,run01_speciated,685,0.2396
'students',4,run01_speciated,689,0.06
'study',4,run03_speciated,773,0.111
'tactics',4,run02_speciated,578,0.2855
'tools',4,run02_speciated,579,0.1836
'voting',4,run01_speciated,687,0.1566
'app',3,run04_speciated,491,0.1356
'assessment',3,run02_speciated,576,0.7308
'buy',3,run01_speciated,689,0.06
'consequences',3,run05_speciated,598,0.1544
'copies',3,run02_speciated,579,0.1836
'creative',3,run02_speciated,594,0.2338
'cultural',3,run05_speciated,595,0.3775
'deal',3,run03_speciated,790,0.1136
'decision',3,run01_speciated,697,0.4404
'delete',3,run02_speciated,579,0.1836
'detected',3,run05_speciated,596,0.2316
'disability',3,run01_speciated,698,0.0931
'effectively',3,run02_speciated,578,0.2855
'encourage',3,run02_speciated,576,0.7308
'environmental',3,run03_speciated,777,0.0666
'evaluation',3,run02_speciated,576,0.7308
'fail',3,run03_speciated,789,0.0832
'fake',3,run02_speciated,580,0.1677
'feedback',3,run02_speciated,576,0.7308
'genetically',3,run03_speciated,791,0.1106
'individuals',3,run01_speciated,686,0.2338
'information',3,run01_speciated,687,0.1566
'law',3,run05_speciated,596,0.2316
'malicious',3,run04_speciated,491,0.1356
'market',3,run03_speciated,790,0.1136
'metaphysical',3,run03_speciated,786,0.2003
'mobile',3,run04_speciated,491,0.1356
'negative',3,run02_speciated,576,0.7308
'opportunities',3,run02_speciated,580,0.1677
'parties',3,run05_speciated,588,0.5187
'peopel',3,run03_speciated,788,0.3169
'performance',3,run02_speciated,594,0.2338
'plagiarize',3,run05_speciated,597,0.1616
'points',3,run02_speciated,579,0.1836
'pre-written',3,run01_speciated,689,0.06
'prevent',3,run04_speciated,489,0.1521
'ransomware',3,run02_speciated,579,0.1836
'recommend',3,run01_speciated,689,0.06
'regulations',3,run03_speciated,777,0.0666
'restore',3,run02_speciated,579,0.1836
'scams',3,run02_speciated,580,0.1677
'shadow',3,run02_speciated,579,0.1836
'source',3,run04_speciated,491,0.1356
'student',3,run03_speciated,789,0.0832
'suppression',3,run01_speciated,687,0.1566
'take',3,run02_speciated,595,0.1121
'target',3,run01_speciated,686,0.2338
'ther',3,run03_speciated,788,0.3169
'treatment',3,run01_speciated,698,0.0931
'unfairly',3,run03_speciated,770,0.1789
'voter',3,run01_speciated,687,0.1566
'website',3,run01_speciated,689,0.06
'white',3,run02_speciated,578,0.2855
'women',3,run05_speciated,601,0.1044
'writing',3,run03_speciated,787,0.0966
'access',2,run01_speciated,681,0.0277
'actions',2,run02_speciated,593,0.1763
'admiration',2,run05_speciated,595,0.3775
'air',2,run02_speciated,586,0.0513
'areas',2,run04_speciated,494,0.0429
'benefit',2,run03_speciated,786,0.2003
'bigoted',2,run02_speciated,576,0.7308
'billing',2,run05_speciated,599,0.1191
'businesses',2,run05_speciated,611,0.0417
'catalytic',2,run01_speciated,700,0.0992
'cause',2,run03_speciated,787,0.0966
'cheater',2,run03_speciated,767,0.053
'children',2,run04_speciated,498,0.3309
'class',2,run03_speciated,789,0.0832
'communities',2,run02_speciated,578,0.2855
'consent',2,run02_speciated,593,0.1763
'converters',2,run01_speciated,700,0.0992
'corporate',2,run03_speciated,790,0.1136
'corrupt',2,run01_speciated,685,0.2396
'criticism',2,run05_speciated,595,0.3775
'critics',2,run03_speciated,789,0.0832
'csr',2,run03_speciated,788,0.3169
'cyberbullying',2,run02_speciated,594,0.2338
'deals',2,run05_speciated,608,0.1191
'design',2,run01_speciated,688,0.1527
'developer',2,run04_speciated,491,0.1356
'disaster',2,run03_speciated,787,0.0966
'discrimination',2,run05_speciated,601,0.1044
'discriminatory',2,run02_speciated,576,0.7308
'disorder',2,run02_speciated,589,0.0439
'dominate',2,run05_speciated,609,0.088
'economic',2,run01_speciated,688,0.1527
'emotions',2,run03_speciated,785,0.0218
'enforcement',2,run05_speciated,596,0.2316
'engaging',2,run01_speciated,687,0.1566
'essays',2,run01_speciated,689,0.06
'estate',2,run04_speciated,490,0.1516
'exploitation',2,run04_speciated,498,0.3309
'feel',2,run02_speciated,596,0.0931
'fool',2,run01_speciated,697,0.4404
'gas',2,run03_speciated,787,0.0966
'groom',2,run04_speciated,498,0.3309
'guilty',2,run02_speciated,596,0.0931
'harassment',2,run02_speciated,594,0.2338
'healthcare',2,run05_speciated,599,0.1191
'homes',2,run04_speciated,494,0.0429
'infect',2,run04_speciated,489,0.1521
'influenced',2,run01_speciated,697,0.4404
'institutions',2,run05_speciated,613,0.2285
'interest',2,run05_speciated,588,0.5187
'leader',2,run01_speciated,685,0.2396
'leak',2,run03_speciated,787,0.0966
'learning',2,run05_speciated,605,0.0338
'legal',2,run01_speciated,698,0.0931
'legitimate',2,run04_speciated,491,0.1356
'lose',2,run05_speciated,600,0.1119
'low-income',2,run03_speciated,778,0.0523
'manipulative',2,run03_speciated,790,0.1136
'marginalized',2,run02_speciated,578,0.2855
'mathematical',2,run03_speciated,770,0.1789
'media',2,run04_speciated,498,0.3309
'mediums',2,run03_speciated,763,0.1065
'millions',2,run01_speciated,685,0.2396
'minimizing',2,run05_speciated,597,0.1616
'mistakes',2,run02_speciated,596,0.0931
'modeling',2,run03_speciated,770,0.1789
'mortgage',2,run04_speciated,490,0.1516
'negotiate',2,run04_speciated,499,0.039
'news',2,run04_speciated,491,0.1356
'noncognitive',2,run02_speciated,593,0.1763
'organism',2,run02_speciated,586,0.0513
'past',2,run02_speciated,596,0.0931
'patients',2,run02_speciated,582,0.1035
'plants',2,run04_speciated,489,0.1521
'positive',2,run02_speciated,598,0.6545
'provide',2,run03_speciated,770,0.1789
'punishment',2,run01_speciated,685,0.2396
'racial',2,run01_speciated,688,0.1527
'real',2,run04_speciated,490,0.1516
'resorting',2,run02_speciated,578,0.2855
'retarded',2,run03_speciated,789,0.0832
'schemes',2,run02_speciated,580,0.1677
'selling',2,run01_speciated,700,0.0992
'sexual',2,run04_speciated,498,0.3309
'shock',2,run03_speciated,787,0.0966
'silence',2,run03_speciated,789,0.0832
'social',2,run04_speciated,498,0.3309
'software',2,run05_speciated,597,0.1616
'space',2,run05_speciated,604,0.0592
'studies',2,run05_speciated,601,0.1044
'style',2,run01_speciated,685,0.2396
'suppliers',2,run01_speciated,691,0.0486
'teacher',2,run03_speciated,778,0.0523
'tell',2,run03_speciated,787,0.0966
'theft',2,run04_speciated,490,0.1516
'tips',2,run03_speciated,763,0.1065
'title',2,run04_speciated,490,0.1516
'translation',2,run05_speciated,608,0.1191
'urban',2,run01_speciated,688,0.1527
'utilize',2,run05_speciated,608,0.1191
'valuables',2,run05_speciated,604,0.0592
'value',2,run03_speciated,787,0.0966
'vehicles',2,run01_speciated,700,0.0992
'virus',2,run04_speciated,489,0.1521
'vulnerability',2,run02_speciated,582,0.1035
'want',2,run01_speciated,692,0.0461
'ability',1,run01_speciated,681,0.0277
'abowt',1,run03_speciated,788,0.3169
'abraham',1,run01_speciated,684,0.3276
'academic',1,run03_speciated,778,0.0523
'accountability',1,run05_speciated,599,0.1191
'accurately',1,run01_speciated,693,0.0395
'achieve',1,run02_speciated,581,0.1133
'ada',1,run05_speciated,611,0.0417
'advancement',1,run01_speciated,679,0.1035
'advatage',1,run04_speciated,493,0.0729
'affec',1,run01_speciated,697,0.4404
'affected',1,run01_speciated,697,0.4404
'affluent',1,run01_speciated,688,0.1527
'africa',1,run03_speciated,768,0.3646
'agenst',1,run02_speciated,577,0.339
'agile',1,run03_speciated,774,0.0948
'agreements',1,run03_speciated,790,0.1136
'allow',1,run03_speciated,778,0.0523
'always',1,run01_speciated,685,0.2396
'americans',1,run05_speciated,607,0.0201
'analysis',1,run02_speciated,597,0.097
'annoyingly',1,run01_speciated,690,0.0533
'anti-plagiarism',1,run05_speciated,597,0.1616
'anti-regulation',1,run02_speciated,585,0.0538
'apathetic',1,run02_speciated,587,0.0501
