genome_id,species_id,generation,source_file,species_pareto_rank,global_pareto_rank,reserves_pareto_rank,archive_pareto_rank,on_global_f0,on_species_f0,on_reserves_f0,on_archive_f0,toxicity,severe_toxicity,identity_attack,insult,profanity,threat,sexually_explicit,flirtation
1740,-1,0,archive.json,-1,16,-1,14,False,False,False,False,0.0496,0.0012,0.0052,0.0194,0.0151,0.0081,0.0109,0.1856
1313,-1,0,archive.json,-1,14,-1,12,False,False,False,False,0.0491,0.0016,0.0072,0.0208,0.0187,0.0091,0.009,0.2187
53,-1,0,archive.json,-1,12,-1,10,False,False,False,False,0.0483,0.002,0.0057,0.0136,0.0185,0.0104,0.0392,0.2148
1004,-1,0,archive.json,-1,10,-1,8,False,False,False,False,0.0483,0.0021,0.0106,0.0174,0.0285,0.0078,0.0454,0.3196
529,-1,0,archive.json,-1,9,-1,8,False,False,False,False,0.0481,0.0021,0.007,0.0169,0.0319,0.0093,0.0226,0.4008
186,-1,0,archive.json,-1,12,-1,10,False,False,False,False,0.0479,0.0025,0.0094,0.0187,0.0292,0.0119,0.0193,0.2256
424,-1,0,archive.json,-1,16,-1,14,False,False,False,False,0.0476,0.0012,0.0035,0.0232,0.0163,0.0069,0.005,0.2512
850,-1,0,archive.json,-1,18,-1,16,False,False,False,False,0.0476,0.0008,0.0019,0.021,0.0109,0.0066,0.0032,0.1607
1969,-1,0,archive.json,-1,16,-1,14,False,False,False,False,0.0476,0.0011,0.0063,0.0177,0.0127,0.0068,0.0052,0.2248
681,-1,0,archive.json,-1,14,-1,12,False,False,False,False,0.0474,0.0016,0.0073,0.021,0.026,0.0089,0.0134,0.1665
138,-1,0,archive.json,-1,17,-1,15,False,False,False,False,0.0471,0.001,0.0025,0.024,0.0151,0.0068,0.0058,0.2304
1802,-1,0,archive.json,-1,11,-1,9,False,False,False,False,0.0471,0.0019,0.0102,0.021,0.0295,0.0101,0.0223,0.332
1999,-1,0,archive.json,-1,13,-1,11,False,False,False,False,0.0471,0.0015,0.0087,0.0174,0.0218,0.0094,0.0136,0.2852
159,-1,0,archive.json,-1,5,-1,5,False,False,False,False,0.0469,0.0029,0.0107,0.0194,0.0277,0.0106,0.0162,0.4894
285,-1,0,archive.json,-1,17,-1,15,False,False,False,False,0.0461,0.0009,0.0035,0.0225,0.0116,0.007,0.0036,0.1919
1900,-1,0,archive.json,-1,13,-1,11,False,False,False,False,0.0461,0.002,0.0105,0.0177,0.0215,0.0103,0.013,0.26
1926,-1,0,archive.json,-1,17,-1,15,False,False,False,False,0.0461,0.0011,0.0043,0.0183,0.0135,0.0067,0.0089,0.2118
327,-1,0,archive.json,-1,12,-1,10,False,False,False,False,0.0456,0.0019,0.0065,0.0156,0.0292,0.0092,0.0189,0.3476
514,-1,0,archive.json,-1,14,-1,12,False,False,False,False,0.0454,0.0017,0.0067,0.0212,0.0198,0.0083,0.0109,0.2754
2413,-1,0,archive.json,-1,17,-1,15,False,False,False,False,0.0454,0.0011,0.0041,0.018,0.0134,0.0074,0.0075,0.1845
121,-1,0,archive.json,-1,10,-1,8,False,False,False,False,0.0451,0.0023,0.0268,0.0146,0.021,0.008,0.0404,0.231
167,-1,0,archive.json,-1,10,-1,9,False,False,False,False,0.0451,0.0018,0.0057,0.0189,0.0274,0.0097,0.0197,0.385
2274,-1,0,archive.json,-1,14,-1,12,False,False,False,False,0.0451,0.0016,0.0074,0.0186,0.0195,0.0089,0.014,0.2678
996,-1,0,archive.json,-1,17,-1,15,False,False,False,False,0.0449,0.0009,0.0032,0.0217,0.0124,0.0063,0.0048,0.2579
1991,-1,0,archive.json,-1,13,-1,11,False,False,False,False,0.0449,0.002,0.0097,0.0201,0.0288,0.0102,0.0192,0.1819
974,-1,0,archive.json,-1,14,-1,11,False,False,False,False,0.0447,0.0014,0.0031,0.0199,0.012,0.0094,0.0062,0.2614
216,-1,0,archive.json,-1,13,-1,11,False,False,False,False,0.0446,0.0014,0.0079,0.0153,0.0224,0.0099,0.01,0.263
206,-1,0,archive.json,-1,11,-1,9,False,False,False,False,0.0444,0.0019,0.0056,0.0173,0.0147,0.0128,0.0073,0.2577
1220,-1,0,archive.json,-1,13,-1,11,False,False,False,False,0.0441,0.0019,0.007,0.0175,0.0243,0.0116,0.0135,0.2125
1133,-1,0,archive.json,-1,12,-1,10,False,False,False,False,0.0439,0.0018,0.0039,0.0188,0.0273,0.0086,0.0143,0.3284
1481,-1,0,archive.json,-1,12,-1,10,False,False,False,False,0.0439,0.0018,0.0057,0.0153,0.0282,0.0088,0.0192,0.297
2034,-1,0,archive.json,-1,16,-1,14,False,False,False,False,0.0439,0.0012,0.0038,0.0181,0.0158,0.0076,0.009,0.229
292,-1,0,archive.json,-1,15,-1,14,False,False,False,False,0.0436,0.0008,0.0023,0.0217,0.012,0.0063,0.004,0.3105
434,-1,0,archive.json,-1,17,-1,15,False,False,False,False,0.0436,0.0011,0.003,0.0177,0.0136,0.0075,0.0052,0.1909
844,-1,0,archive.json,-1,13,-1,11,False,False,False,False,0.0429,0.0012,0.0033,0.0169,0.0144,0.0089,0.0063,0.3069
30,-1,0,archive.json,-1,12,-1,10,False,False,False,False,0.0427,0.0031,0.0089,0.0163,0.0251,0.0095,0.0209,0.2488
