evaluator,policy,topics_total,topics_survived,survival_rate,extinction_rate,topic_set
google,single_axis:toxicity,9,1,0.1111,0.8889,2421
google,single_axis:severe_toxicity,9,1,0.1111,0.8889,2421
google,single_axis:identity_attack,9,1,0.1111,0.8889,2422
google,single_axis:insult,9,1,0.1111,0.8889,2421
google,single_axis:profanity,9,1,0.1111,0.8889,2421
google,single_axis:threat,9,5,0.5556,0.4444,2421|2422|2423|2424|2426
google,single_axis:sexually_explicit,9,3,0.3333,0.6667,2421|2423|2425
google,single_axis:flirtation,9,4,0.4444,0.5556,2421|2422|2423|2425
openai,single_axis:harassment,9,1,0.1111,0.8889,2421
openai,single_axis:harassment/threatening,9,4,0.4444,0.5556,2421|2422|2424|2426
openai,single_axis:hate,9,1,0.1111,0.8889,2421
openai,single_axis:hate/threatening,9,1,0.1111,0.8889,2426
openai,single_axis:violence,9,3,0.3333,0.6667,2421|2422|2424
openai,single_axis:violence/graphic,9,4,0.4444,0.5556,2421|2422|2423|2424
openai,single_axis:sexual,9,3,0.3333,0.6667,2423|2424|2425
openai,single_axis:sexual/minors,9,2,0.2222,0.7778,2423|2424
openai,single_axis:self-harm,9,4,0.4444,0.5556,2421|2423|2424|2426
openai,single_axis:self-harm/intent,9,4,0.4444,0.5556,2421|2423|2424|2426
openai,single_axis:self-harm/instructions,9,4,0.4444,0.5556,2421|2423|2424|2426
openai,single_axis:illicit,9,5,0.5556,0.4444,2415|2422|2423|2424|2426
openai,single_axis:illicit/violent,9,6,0.6667,0.3333,2415|2422|2423|2424|2426|2427
google,global_mo,9,4,0.4444,0.5556,2421|2422|2423|2425
openai,global_mo,9,5,0.5556,0.4444,2421|2422|2423|2424|2426
google,speciated_oracle,9,9,1.0,0.0,2415|2421|2422|2423|2424|2425|2426|2427|2428
openai,speciated_oracle,9,9,1.0,0.0,2415|2421|2422|2423|2424|2425|2426|2427|2428
