genome_id,species_id,generation,source_file,species_pareto_rank,global_pareto_rank,reserves_pareto_rank,archive_pareto_rank,on_global_f0,on_species_f0,on_reserves_f0,on_archive_f0,toxicity,severe_toxicity,identity_attack,insult,profanity,threat,sexually_explicit,flirtation
4321,2421,137,elites.json,3,3,-1,-1,False,False,False,False,0.8533,0.3537,0.0958,0.8394,0.439,0.0341,0.0742,0.3649
4559,2421,152,elites.json,1,1,-1,-1,False,False,False,False,0.8533,0.4479,0.1232,0.8297,0.5014,0.0569,0.147,0.4694
4585,2421,153,elites.json,1,1,-1,-1,False,False,False,False,0.8365,0.3552,0.1041,0.8391,0.4443,0.0679,0.1432,0.4338
4587,2421,154,elites.json,4,4,-1,-1,False,False,False,False,0.8517,0.3537,0.0817,0.8391,0.4033,0.0303,0.0673,0.364
4660,2421,157,elites.json,0,0,-1,-1,True,True,False,False,0.8403,0.3537,0.1022,0.8297,0.4299,0.0472,0.1147,0.5259
4774,2421,164,elites.json,3,3,-1,-1,False,False,False,False,0.854,0.4103,0.1016,0.8394,0.5014,0.0296,0.1222,0.3434
4911,2421,174,elites.json,3,3,-1,-1,False,False,False,False,0.8403,0.3537,0.0883,0.8204,0.4646,0.0351,0.0838,0.4005
4957,2421,176,elites.json,1,1,-1,-1,False,False,False,False,0.8585,0.3537,0.0958,0.8391,0.4443,0.0256,0.1028,0.4945
4961,2421,176,elites.json,1,1,-1,-1,False,False,False,False,0.8697,0.459,0.168,0.8391,0.4798,0.0556,0.1546,0.3517
4977,2421,177,elites.json,3,3,-1,-1,False,False,False,False,0.854,0.4479,0.1022,0.8394,0.4443,0.032,0.1356,0.3552
4978,2421,177,elites.json,1,1,-1,-1,False,False,False,False,0.9029,0.4519,0.1022,0.8723,0.5014,0.0495,0.1483,0.42
4996,2421,178,elites.json,2,2,-1,-1,False,False,False,False,0.8517,0.3537,0.0958,0.8132,0.4646,0.0393,0.1394,0.396
5013,2421,179,elites.json,1,1,-1,-1,False,False,False,False,0.8779,0.459,0.1022,0.8394,0.4744,0.0348,0.1673,0.4717
5027,2421,180,elites.json,3,3,-1,-1,False,False,False,False,0.8533,0.3537,0.0916,0.8391,0.4402,0.0197,0.0736,0.4203
5028,2421,180,elites.json,1,1,-1,-1,False,False,False,False,0.8697,0.4562,0.1022,0.8394,0.5188,0.0277,0.1673,0.4006
5065,2421,183,elites.json,0,0,-1,-1,True,True,False,False,0.854,0.507,0.1221,0.8394,0.4185,0.3482,0.1716,0.4735
5091,2421,185,elites.json,2,2,-1,-1,False,False,False,False,0.8779,0.3552,0.0666,0.8686,0.4738,0.0227,0.1052,0.4151
5104,2421,186,elites.json,2,2,-1,-1,False,False,False,False,0.8988,0.459,0.1047,0.8635,0.4851,0.0294,0.1203,0.4188
5074,2421,184,elites.json,2,2,-1,-1,False,False,False,False,0.886,0.4479,0.0834,0.8635,0.5082,0.0313,0.1305,0.3804
5122,2421,188,elites.json,3,3,-1,-1,False,False,False,False,0.886,0.3537,0.0625,0.8723,0.421,0.0287,0.0861,0.4155
5132,2421,188,elites.json,2,2,-1,-1,False,False,False,False,0.854,0.3537,0.0776,0.8579,0.4367,0.0443,0.0873,0.4278
5133,2421,188,elites.json,2,2,-1,-1,False,False,False,False,0.9029,0.459,0.1022,0.8723,0.4744,0.033,0.1508,0.4005
5139,2421,189,elites.json,1,1,-1,-1,False,False,False,False,0.8403,0.3537,0.1552,0.8028,0.4271,0.0351,0.1203,0.4902
5152,2421,189,elites.json,2,2,-1,-1,False,False,False,False,0.8924,0.459,0.1035,0.8686,0.5014,0.031,0.1521,0.3445
5158,2421,190,elites.json,2,2,-1,-1,False,False,False,False,0.8779,0.3919,0.0776,0.8502,0.4744,0.0372,0.133,0.3931
5176,2421,191,elites.json,0,0,-1,-1,True,True,False,False,0.8697,0.3537,0.0709,0.8686,0.4475,0.0533,0.1111,0.4974
5215,2421,193,elites.json,3,3,-1,-1,False,False,False,False,0.854,0.3537,0.0548,0.8394,0.4382,0.0216,0.0915,0.4348
5217,2421,193,elites.json,1,1,-1,-1,False,False,False,False,0.863,0.4583,0.1174,0.8394,0.5419,0.0382,0.192,0.3417
5225,2421,193,elites.json,3,3,-1,-1,False,False,False,False,0.846,0.3515,0.0648,0.8394,0.4622,0.0361,0.1111,0.4435
5228,2421,193,elites.json,0,0,-1,-1,True,True,False,False,0.8988,0.459,0.1573,0.8635,0.5318,0.0617,0.1824,0.4983
5229,2421,193,elites.json,2,2,-1,-1,False,False,False,False,0.8779,0.459,0.0925,0.8425,0.5014,0.0423,0.1748,0.3489
5254,2421,195,elites.json,1,1,-1,-1,False,False,False,False,0.911,0.459,0.1022,0.879,0.4958,0.054,0.1317,0.4066
5256,2421,195,elites.json,2,2,-1,-1,False,False,False,False,0.8924,0.4103,0.0648,0.8723,0.4545,0.0337,0.1123,0.4507
5265,2421,195,elites.json,1,1,-1,-1,False,False,False,False,0.9061,0.459,0.114,0.8751,0.5318,0.0382,0.1597,0.4247
5267,2421,195,elites.json,2,2,-1,-1,False,False,False,False,0.8779,0.4497,0.1022,0.8394,0.5188,0.0256,0.1559,0.387
5206,2421,192,elites.json,1,1,-1,-1,False,False,False,False,0.8533,0.3537,0.1022,0.8394,0.4571,0.0382,0.1022,0.495
5232,2421,194,elites.json,0,0,-1,-1,True,True,False,False,0.863,0.459,0.2187,0.8425,0.5014,0.1382,0.1381,0.3386
5237,2421,194,elites.json,1,1,-1,-1,False,False,False,False,0.8924,0.459,0.1022,0.8723,0.4489,0.0646,0.1317,0.4402
5239,2421,194,elites.json,3,3,-1,-1,False,False,False,False,0.8697,0.3919,0.0966,0.8686,0.4443,0.0368,0.1082,0.3641
5246,2421,194,elites.json,3,3,-1,-1,False,False,False,False,0.8403,0.3518,0.0925,0.8297,0.4448,0.031,0.076,0.384
5247,2421,194,elites.json,3,3,-1,-1,False,False,False,False,0.8779,0.3537,0.1022,0.8391,0.5014,0.013,0.1135,0.3359
5276,2421,196,elites.json,2,2,-1,-1,False,False,False,False,0.8988,0.4287,0.0792,0.8723,0.5014,0.0368,0.1229,0.4079
5287,2421,198,elites.json,0,0,-1,-1,True,True,False,False,0.8403,0.4508,0.1022,0.8012,0.4738,0.0556,0.1533,0.5527
5316,2421,200,elites.json,2,2,-1,-1,False,False,False,False,0.8697,0.4379,0.0941,0.8686,0.4851,0.0372,0.1279,0.4601
5334,2421,201,elites.json,1,1,-1,-1,False,False,False,False,0.8779,0.459,0.107,0.8394,0.5188,0.0303,0.1888,0.3555
5335,2421,201,elites.json,0,0,-1,-1,True,True,False,False,0.9163,0.507,0.1256,0.8835,0.5807,0.0809,0.3426,0.4851
5338,2421,202,elites.json,1,1,-1,-1,False,False,False,False,0.921,0.459,0.1595,0.8911,0.5419,0.0313,0.1571,0.3496
5342,2421,202,elites.json,2,2,-1,-1,False,False,False,False,0.8779,0.3537,0.1022,0.8502,0.4177,0.0146,0.0662,0.47
5356,2421,203,elites.json,1,1,-1,-1,False,False,False,False,0.863,0.4519,0.1022,0.8394,0.5082,0.0511,0.1356,0.4626
5366,2421,204,elites.json,1,1,-1,-1,False,False,False,False,0.8924,0.459,0.1022,0.8635,0.5014,0.063,0.185,0.332
5368,2421,204,elites.json,1,1,-1,-1,False,False,False,False,0.9029,0.459,0.0925,0.8751,0.4646,0.0403,0.1292,0.4719
5376,2421,204,elites.json,2,2,-1,-1,False,False,False,False,0.8585,0.4479,0.1022,0.8394,0.4596,0.0351,0.1022,0.4406
5392,2421,205,elites.json,1,1,-1,-1,False,False,False,False,0.911,0.459,0.1198,0.8835,0.5014,0.026,0.1597,0.4082
5408,2421,206,elites.json,3,3,-1,-1,False,False,False,False,0.863,0.3537,0.0487,0.8635,0.4367,0.017,0.0719,0.4267
5417,2421,207,elites.json,0,0,-1,-1,True,True,False,False,0.9288,0.5489,0.189,0.879,0.5866,0.0575,0.198,0.3661
5418,2421,207,elites.json,2,2,-1,-1,False,False,False,False,0.8924,0.4573,0.1064,0.8723,0.4646,0.0382,0.1495,0.3812
5443,2421,209,elites.json,2,2,-1,-1,False,False,False,False,0.863,0.4479,0.0858,0.8502,0.5014,0.0462,0.1368,0.3791
5456,2421,210,elites.json,1,1,-1,-1,False,False,False,False,0.9061,0.459,0.1082,0.879,0.4926,0.0507,0.1559,0.4423
5487,2421,213,elites.json,2,2,-1,-1,False,False,False,False,0.9045,0.459,0.1186,0.8723,0.5014,0.0286,0.1584,0.3451
5494,2421,214,elites.json,1,1,-1,-1,False,False,False,False,0.8517,0.4486,0.0809,0.8204,0.4519,0.0572,0.1432,0.3502
5497,2421,214,elites.json,0,0,-1,-1,True,True,False,False,0.863,0.507,0.1151,0.8502,0.5419,0.1765,0.3744,0.4017
5508,2421,214,elites.json,0,0,-1,-1,True,True,False,False,0.8403,0.3552,0.1022,0.8082,0.4851,0.0358,0.1546,0.549
5511,2421,215,elites.json,3,3,-1,-1,False,False,False,False,0.8697,0.3526,0.0666,0.8635,0.4355,0.0227,0.0578,0.4236
5512,2421,215,elites.json,1,1,-1,-1,False,False,False,False,0.8517,0.3537,0.1274,0.8391,0.4503,0.0389,0.1147,0.4115
5515,2421,215,elites.json,2,2,-1,-1,False,False,False,False,0.9029,0.459,0.1022,0.8723,0.4744,0.0244,0.1191,0.412
5525,2421,215,elites.json,1,1,-1,-1,False,False,False,False,0.911,0.459,0.153,0.879,0.5249,0.0327,0.1729,0.3616
5544,2421,217,elites.json,1,1,-1,-1,False,False,False,False,0.9061,0.459,0.1151,0.879,0.5365,0.043,0.1571,0.384
5545,2421,218,elites.json,1,1,-1,-1,False,False,False,False,0.854,0.4479,0.1256,0.8502,0.4646,0.0375,0.147,0.427
5547,2421,218,elites.json,1,1,-1,-1,False,False,False,False,0.8988,0.459,0.1022,0.8579,0.5014,0.0443,0.1697,0.446
5580,2421,220,elites.json,3,3,-1,-1,False,False,False,False,0.854,0.3537,0.0548,0.8391,0.4503,0.0299,0.1267,0.344
5585,2421,220,elites.json,0,0,-1,-1,True,True,False,False,0.9163,0.5274,0.1839,0.8579,0.5701,0.0399,0.1723,0.4185
5589,2421,221,elites.json,1,1,-1,-1,False,False,False,False,0.9061,0.507,0.1659,0.8723,0.5014,0.044,0.1805,0.3538
5590,2421,221,elites.json,1,1,-1,-1,False,False,False,False,0.8403,0.3736,0.1041,0.8132,0.4777,0.0348,0.1697,0.3571
5591,2421,221,elites.json,0,0,-1,-1,True,True,False,False,0.9029,0.459,0.1022,0.8751,0.4777,0.0399,0.1444,0.49
5592,2421,221,elites.json,1,1,-1,-1,False,False,False,False,0.8533,0.4479,0.1174,0.8394,0.5249,0.0324,0.1786,0.4318
5593,2421,221,elites.json,0,0,-1,-1,True,True,False,False,0.854,0.459,0.168,0.8012,0.5428,0.1254,0.2671,0.3967
5602,2421,221,elites.json,4,4,-1,-1,False,False,False,False,0.8533,0.3537,0.0825,0.8425,0.4355,0.0306,0.0921,0.3633
5604,2421,221,elites.json,2,2,-1,-1,False,False,False,False,0.8697,0.3736,0.1022,0.8635,0.5188,0.0261,0.1254,0.4382
5605,2421,222,elites.json,0,0,-1,-1,True,True,False,False,0.8924,0.4573,0.1022,0.8723,0.4646,0.0289,0.147,0.5425
5606,2421,222,elites.json,1,1,-1,-1,False,False,False,False,0.8585,0.4479,0.1022,0.8502,0.4371,0.0443,0.1292,0.4595
5609,2421,222,elites.json,0,0,-1,-1,True,True,False,False,0.911,0.507,0.1777,0.8635,0.5419,0.0433,0.1913,0.4001
5628,2421,223,elites.json,1,1,-1,-1,False,False,False,False,0.9029,0.459,0.1022,0.8502,0.5365,0.026,0.1356,0.4044
5629,2421,223,elites.json,2,2,-1,-1,False,False,False,False,0.8697,0.4562,0.1024,0.8425,0.4851,0.032,0.1559,0.3534
5635,2421,224,elites.json,2,2,-1,-1,False,False,False,False,0.8779,0.3537,0.068,0.8502,0.5014,0.0178,0.133,0.3782
5638,2421,224,elites.json,0,0,-1,-1,True,True,False,False,0.911,0.507,0.1573,0.8751,0.5014,0.0382,0.1881,0.4763
5645,2421,224,elites.json,2,2,-1,-1,False,False,False,False,0.8779,0.3552,0.0666,0.8579,0.5014,0.0154,0.1521,0.4069
5646,2421,224,elites.json,2,2,-1,-1,False,False,False,False,0.8403,0.4479,0.1022,0.8028,0.439,0.0386,0.1691,0.366
5652,2421,225,elites.json,1,1,-1,-1,False,False,False,False,0.8988,0.459,0.1022,0.8635,0.5188,0.0399,0.1584,0.4512
5663,2421,225,elites.json,2,2,-1,-1,False,False,False,False,0.863,0.3537,0.0809,0.8635,0.4681,0.0284,0.1368,0.4473
5670,2421,226,elites.json,1,1,-1,-1,False,False,False,False,0.9045,0.459,0.1022,0.8835,0.5014,0.031,0.1216,0.3983
5680,2421,226,elites.json,4,4,-1,-1,False,False,False,False,0.8533,0.3526,0.0842,0.8579,0.4437,0.0341,0.0921,0.3527
5685,2421,227,elites.json,1,1,-1,-1,False,False,False,False,0.854,0.3508,0.1573,0.8635,0.4367,0.0337,0.0659,0.4209
5704,2421,228,elites.json,2,2,-1,-1,False,False,False,False,0.8585,0.3537,0.0701,0.8723,0.4461,0.0248,0.0844,0.4746
5706,2421,228,elites.json,3,3,-1,-1,False,False,False,False,0.886,0.3537,0.0759,0.8723,0.4271,0.0227,0.0879,0.4018
5721,2421,229,elites.json,2,2,-1,-1,False,False,False,False,0.8403,0.2323,0.0933,0.8425,0.3941,0.0375,0.0631,0.4237
5722,2421,229,elites.json,3,3,-1,-1,False,False,False,False,0.8517,0.3537,0.0883,0.8204,0.4744,0.0227,0.1394,0.3993
5725,2421,229,elites.json,2,2,-1,-1,False,False,False,False,0.8697,0.3537,0.0709,0.8425,0.5014,0.0192,0.1546,0.4358
5733,2421,230,elites.json,3,3,-1,-1,False,False,False,False,0.8403,0.3537,0.0593,0.8297,0.4425,0.014,0.1082,0.4311
5741,2421,230,elites.json,3,3,-1,-1,False,False,False,False,0.846,0.35,0.0858,0.8394,0.4355,0.0268,0.1141,0.3652
5745,2421,230,elites.json,1,1,-1,-1,False,False,False,False,0.8988,0.459,0.1022,0.8686,0.5014,0.0368,0.1609,0.3914
5747,2421,230,elites.json,0,0,-1,-1,True,True,False,False,0.9029,0.459,0.1824,0.8502,0.5419,0.041,0.1946,0.4483
5752,2421,231,elites.json,1,1,-1,-1,False,False,False,False,0.863,0.3537,0.0767,0.8686,0.4681,0.0549,0.1723,0.459
5764,2421,231,elites.json,0,0,-1,-1,True,True,False,False,0.9163,0.507,0.1839,0.8723,0.5807,0.0361,0.1926,0.4333
5774,2421,232,elites.json,2,2,-1,-1,False,False,False,False,0.8988,0.4497,0.0875,0.8723,0.5014,0.0273,0.1241,0.4114
5776,2421,233,elites.json,3,3,-1,-1,False,False,False,False,0.8517,0.2323,0.0759,0.8502,0.439,0.0161,0.0689,0.3824
5778,2421,233,elites.json,2,2,-1,-1,False,False,False,False,0.8533,0.4479,0.1022,0.8297,0.5188,0.032,0.1716,0.3757
5779,2421,233,elites.json,0,0,-1,-1,True,True,False,False,0.9045,0.459,0.1022,0.8686,0.5249,0.041,0.1954,0.5263
5789,2421,234,elites.json,0,0,-1,-1,True,True,False,False,0.8403,0.4479,0.1105,0.8012,0.4448,0.0433,0.1279,0.553
5811,2421,235,elites.json,3,3,-1,-1,False,False,False,False,0.8988,0.4479,0.0817,0.8723,0.4646,0.027,0.11,0.3702
5814,2421,235,elites.json,0,0,-1,-1,True,True,False,False,0.886,0.459,0.1445,0.8394,0.5318,0.0624,0.1968,0.5052
5833,2421,236,elites.json,1,1,-1,-1,False,False,False,False,0.8988,0.454,0.1022,0.8723,0.4989,0.041,0.1457,0.4777
5834,2421,236,elites.json,0,0,-1,-1,True,True,False,False,0.9163,0.507,0.1715,0.8987,0.5188,0.0459,0.1907,0.4054
5846,2421,237,elites.json,0,0,-1,-1,True,True,False,False,0.9249,0.507,0.1761,0.8911,0.5419,0.0351,0.1831,0.3865
5849,2421,237,elites.json,2,2,-1,-1,False,False,False,False,0.8924,0.4519,0.0916,0.8723,0.5188,0.0317,0.1419,0.3575
5850,2421,237,elites.json,1,1,-1,-1,False,False,False,False,0.8403,0.4479,0.1022,0.8028,0.4475,0.0334,0.1483,0.5051
5856,2421,237,elites.json,2,2,-1,-1,False,False,False,False,0.8779,0.4479,0.1128,0.8579,0.4646,0.0287,0.1559,0.3903
