id,generation,source_file,species_pareto_rank,global_pareto_rank,partly_global_pareto_front,severe_toxicity,identity_attack,toxicity,flirtation,threat,sexually_explicit,profanity,insult
95,0,data/outputs/20260211_2122/elites.json,0,0,0,0.0195,0.0634,0.3734,0.5005,0.041,0.4139,0.1879,0.0743
4716,161,data/outputs/20260211_2122/elites.json,0,0,0,0.0164,0.0949,0.3051,0.4838,0.0504,0.3928,0.1282,0.0635
51,0,data/outputs/20260211_2122/elites.json,0,0,0,0.0119,0.0176,0.3054,0.5315,0.012,0.4079,0.1608,0.0555
923,0,data/outputs/20260211_2122/elites.json,0,2,1,0.0078,0.052,0.1304,0.392,0.0537,0.082,0.0913,0.0283
5447,210,data/outputs/20260211_2122/elites.json,1,1,,0.0101,0.0312,0.2741,0.3809,0.0452,0.3883,0.0871,0.0618
5810,235,data/outputs/20260211_2122/elites.json,1,1,,0.0092,0.0189,0.2397,0.386,0.0239,0.3936,0.0916,0.0579
52,0,data/outputs/20260211_2122/elites.json,1,1,,0.0076,0.0189,0.2367,0.4327,0.0109,0.3744,0.0884,0.0415
364,0,data/outputs/20260211_2122/elites.json,1,1,,0.0069,0.0119,0.2629,0.3725,0.0083,0.3744,0.1018,0.0462
5150,189,data/outputs/20260211_2122/elites.json,1,1,,0.0066,0.0129,0.2077,0.4278,0.0182,0.3744,0.0645,0.0334
5450,210,data/outputs/20260211_2122/elites.json,1,1,,0.006,0.0095,0.2367,0.3561,0.0073,0.3741,0.1229,0.0275
96,0,data/outputs/20260211_2122/elites.json,1,1,,0.0062,0.0222,0.2316,0.3909,0.0122,0.3714,0.0467,0.055
2793,23,data/outputs/20260211_2122/elites.json,1,1,,0.0073,0.0206,0.1931,0.2699,0.0124,0.3426,0.0926,0.0291
344,0,data/outputs/20260211_2122/elites.json,1,2,,0.0056,0.0114,0.1593,0.3089,0.0084,0.2929,0.0932,0.0253
1526,0,data/outputs/20260211_2122/elites.json,1,4,,0.0115,0.0087,0.1593,0.3867,0.0196,0.0903,0.0993,0.0308
5404,206,data/outputs/20260211_2122/elites.json,1,2,,0.0063,0.0625,0.1478,0.2218,0.0472,0.0655,0.0845,0.0336
4719,161,data/outputs/20260211_2122/elites.json,2,2,,0.0064,0.0121,0.205,0.4267,0.017,0.3744,0.064,0.0326
5449,210,data/outputs/20260211_2122/elites.json,2,2,,0.0065,0.0258,0.2352,0.3611,0.0151,0.3744,0.065,0.045
5817,235,data/outputs/20260211_2122/elites.json,2,2,,0.0057,0.0218,0.2313,0.3459,0.0229,0.3744,0.0512,0.035
97,0,data/outputs/20260211_2122/elites.json,2,2,,0.0058,0.0236,0.201,0.271,0.0154,0.3426,0.0489,0.0468
5141,189,data/outputs/20260211_2122/elites.json,3,3,,0.0056,0.0129,0.2345,0.3143,0.0136,0.3741,0.0462,0.0346
4755,163,data/outputs/20260211_2122/elites.json,3,3,,0.0043,0.0132,0.1846,0.2952,0.0172,0.3503,0.0444,0.0294
5455,210,data/outputs/20260211_2122/elites.json,3,3,,0.0038,0.0186,0.1593,0.3189,0.0108,0.3426,0.0387,0.027
366,0,data/outputs/20260211_2122/elites.json,3,3,,0.0031,0.0089,0.1126,0.3386,0.0087,0.2342,0.0374,0.0208
5659,225,data/outputs/20260211_2122/elites.json,3,3,,0.0023,0.0078,0.1031,0.3241,0.0103,0.1958,0.023,0.0206
4722,161,data/outputs/20260211_2122/elites.json,3,6,,0.0047,0.006,0.08,0.3403,0.0131,0.0258,0.0344,0.0185
312,0,data/outputs/20260211_2122/elites.json,3,6,,0.0028,0.0083,0.0753,0.3541,0.0107,0.0183,0.0271,0.0248
5656,225,data/outputs/20260211_2122/elites.json,3,6,,0.0023,0.0051,0.056,0.3695,0.0102,0.0196,0.0189,0.0211
4714,161,data/outputs/20260211_2122/elites.json,3,7,,0.0024,0.0102,0.0503,0.3213,0.0105,0.0258,0.0289,0.0198
36,0,data/outputs/20260211_2122/elites.json,3,7,,0.0021,0.0057,0.0481,0.3277,0.0113,0.0085,0.017,0.0186
471,0,data/outputs/20260211_2122/elites.json,4,7,,0.0033,0.0131,0.1129,0.2699,0.0129,0.0166,0.0271,0.025
3704,90,data/outputs/20260211_2122/elites.json,4,7,,0.0021,0.0081,0.0595,0.3311,0.0104,0.0114,0.0255,0.0232
4761,163,data/outputs/20260211_2122/elites.json,4,7,,0.0022,0.0055,0.0538,0.3288,0.0101,0.0121,0.019,0.0212
4765,163,data/outputs/20260211_2122/elites.json,4,7,,0.0012,0.0024,0.0183,0.3568,0.0069,0.0081,0.0174,0.011
5657,225,data/outputs/20260211_2122/elites.json,4,9,,0.0013,0.0058,0.0309,0.3139,0.0087,0.0124,0.0183,0.0127
5147,189,data/outputs/20260211_2122/elites.json,4,9,,0.0019,0.0051,0.053,0.2636,0.009,0.0117,0.0285,0.0213
5148,189,data/outputs/20260211_2122/elites.json,5,10,,0.0012,0.0037,0.022,0.2968,0.0085,0.0117,0.0154,0.0101
5138,189,data/outputs/20260211_2122/elites.json,5,10,,0.001,0.0036,0.03,0.2816,0.0068,0.0053,0.0135,0.017
5820,235,data/outputs/20260211_2122/elites.json,5,10,,0.0014,0.0043,0.0293,0.2512,0.0089,0.0118,0.0179,0.0112
1060,0,data/outputs/20260211_2122/elites.json,5,9,,0.0011,0.0102,0.0371,0.171,0.0065,0.0052,0.0106,0.0137
4759,163,data/outputs/20260211_2122/elites.json,6,12,,0.001,0.0027,0.0138,0.2968,0.0076,0.0083,0.0129,0.0085
372,0,data/outputs/20260211_2122/elites.json,6,11,,0.0011,0.0039,0.0201,0.2502,0.008,0.0083,0.0147,0.01
5653,225,data/outputs/20260211_2122/elites.json,6,13,,0.0011,0.0026,0.014,0.1602,0.0078,0.0086,0.0135,0.0078
