method,run_id,run_path,budget_B,best_at_B,auc_best_so_far_B,ttt_0.5,ttt_0.7,ttt_0.8,ttt_0.9,topk,dbscan_eps,dbscan_min_samples,div_spread_mean_cosine_dist_topk,div_dbscan_clusters_topk,div_dbscan_noise_frac_topk
rainbow_plus,21187718,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187718/all_genomes.jsonl,1000,0.5885,481.7369000000047,333.0,,,,50,0.25,3,0.7820720672607422,1,0.94
rainbow_plus,21187719,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187719/all_genomes.jsonl,1000,0.5214,467.19560000001064,455.0,,,,50,0.25,3,0.8094088435173035,1,0.94
rainbow_plus,21187720,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187720/all_genomes.jsonl,1000,0.4475,405.2956999999982,,,,,50,0.25,3,0.8419204354286194,0,1.0
rainbow_plus,21187721,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187721/all_genomes.jsonl,1000,0.6611,510.6426999999942,651.0,,,,50,0.25,3,0.8329681158065796,2,0.82
rainbow_plus,21187722,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187722/all_genomes.jsonl,1000,0.5079,481.344100000005,221.0,,,,50,0.25,3,0.827155590057373,2,0.88
rainbow_plus,21187724,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187724/all_genomes.jsonl,1000,0.5841,529.6090999999908,215.0,,,,50,0.25,3,0.8256162405014038,1,0.94
rainbow_plus,21187726,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/rainbow_plus/21187726/all_genomes.jsonl,1000,0.4475,431.92689999999453,,,,,50,0.25,3,0.8533957600593567,0,1.0
toxsearch,run01_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run01_comb,1000,0.4269,393.5389000000002,,,,,50,0.25,3,0.3449573516845703,1,0.14
toxsearch,run02_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run02_comb,1000,0.4712,430.48960000000005,,,,,50,0.25,3,0.2725745737552643,1,0.06
toxsearch,run03_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run03_comb,1000,0.3992,352.43300000000005,,,,,50,0.25,3,0.249503493309021,1,0.04
toxsearch,run05_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run05_comb,1000,0.3972,350.91690000000017,,,,,50,0.25,3,0.32801520824432373,1,0.06
toxsearch,run06_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run06_comb,1000,0.4269,381.2466000000001,,,,,50,0.25,3,0.3141908049583435,1,0.06
toxsearch,run09_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run09_comb,1000,0.6025,499.0522,334.0,,,,50,0.25,3,0.6575512290000916,4,0.2
toxsearch,run10_comb,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch/run10_comb,1000,0.6025,381.9481000000001,914.0,,,,50,0.25,3,0.4028930962085724,2,0.08
toxsearch_s,20260406_0115,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260406_0115,1000,0.3902,285.62639999999993,,,,,50,0.25,3,0.5054353475570679,2,0.22
toxsearch_s,20260407_0142,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_0142,1000,0.6853,500.4680000000002,389.0,,,,50,0.25,3,0.5540038347244263,3,0.12
toxsearch_s,20260407_1428,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_1428,1000,0.3812,251.54990000000006,,,,,50,0.25,3,0.6903284788131714,4,0.28
toxsearch_s,20260408_0206,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260408_0206,1000,0.4493,321.7279,,,,,50,0.25,3,0.6338727474212646,4,0.16
toxsearch_s,20260409_0354,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_0354,1000,0.3758,304.56609999999966,,,,,50,0.25,3,0.5063323974609375,2,0.2
toxsearch_s,20260409_1707,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_1707,1000,0.3734,266.77599999999995,,,,,50,0.25,3,0.4696956276893616,3,0.12
toxsearch_s,20260410_1929,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260410_1929,1000,0.3967,285.9032000000002,,,,,50,0.25,3,0.17523838579654694,1,0.08
