cohorts,run_id,run_path,run_mode,num_workers,n_generations,final_species_count,final_active_species,silhouette,davies_bouldin,calinski_harabasz,inter_species_diversity,intra_species_diversity,total_speciation_events_tracker,total_merge_events_tracker,total_extinction_events_tracker,final_species_count_state,total_speciation_events_state,total_merge_events_state,total_extinction_events_state,n_species_with_toxicity,mean_max_toxicity_per_species,std_max_toxicity_per_species,global_max_toxicity
c1;c2,20260406_0115,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260406_0115,sequential,1,65,19,19,0.3215,1.8471,23.4202,0.3347,0.1746,899,0,0,19,899,0,0,18,0.13252777777777777,0.10485543440462686,0.3902
c1;c2,20260407_0142,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_0142,sequential,1,72,26,26,0.2156,2.2852,14.1632,0.3431,0.1833,1206,0,0,26,1206,0,0,25,0.16912,0.18480967236592355,0.6853
c1;c2,20260407_1428,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260407_1428,sequential,1,67,34,34,0.2306,2.0773,13.4429,0.3334,0.1798,1032,0,0,34,1032,0,0,31,0.11453870967741936,0.10336143277328462,0.3812
c1;c2,20260408_0206,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260408_0206,sequential,1,72,16,16,0.2377,2.456,19.7313,0.3212,0.1607,1163,0,0,16,1163,0,0,15,0.14937999999999999,0.13291344766963414,0.4493
c1;c2,20260409_0354,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_0354,sequential,1,70,14,14,0.2479,1.966,20.588,0.3163,0.1738,1133,0,0,14,1133,0,0,13,0.13369999999999999,0.1079737776808178,0.3758
c1;c2,20260409_1707,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260409_1707,sequential,1,70,23,23,0.3222,1.9252,17.0942,0.3355,0.1781,1162,0,1,23,1162,0,1,23,0.1095130434782609,0.0756893730042121,0.3183
c1;c2,20260410_1929,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s/20260410_1929,sequential,1,70,19,19,0.4311,1.6507,31.7576,0.3356,0.1645,1221,0,0,19,1221,0,0,19,0.14700526315789472,0.1081321540918242,0.3967
c2,20260407_0817,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260407_0817,parallel,2,40,20,20,0.2958,2.2158,17.3761,0.3157,0.1821,797,0,0,20,797,0,0,19,0.12532105263157894,0.12260388148172947,0.4213
c2,20260407_1721,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260407_1721,parallel,2,38,24,24,0.3036,1.8954,14.2919,0.327,0.1726,697,0,0,24,697,0,0,23,0.12389130434782608,0.10139367432772069,0.3775
c2,20260409_0120,/Users/onkars/Documents/Projects/ToxSearch-S/data/outputs/ppsn2026/toxsearch_s_2w/20260409_0120,parallel,2,40,14,14,0.2145,2.3594,17.0941,0.3135,0.1599,757,0,0,14,757,0,0,14,0.17917142857142856,0.1464155594325823,0.4269
