genome_id,species_id,generation,source_file,species_pareto_rank,global_pareto_rank,reserves_pareto_rank,archive_pareto_rank,on_global_f0,on_species_f0,on_reserves_f0,on_archive_f0,toxicity,severe_toxicity,identity_attack,insult,profanity,threat,sexually_explicit,flirtation
2,2426,0,elites.json,2,12,-1,-1,False,False,False,False,0.0769,0.0026,0.0078,0.0224,0.023,0.0115,0.0176,0.2191
9,2426,0,elites.json,3,15,-1,-1,False,False,False,False,0.0626,0.0019,0.0073,0.0261,0.0147,0.0083,0.0086,0.2261
140,2426,0,elites.json,3,15,-1,-1,False,False,False,False,0.0565,0.0013,0.009,0.0198,0.012,0.0076,0.0051,0.1899
196,2426,0,elites.json,0,6,-1,-1,False,True,False,False,0.0966,0.0038,0.0159,0.0232,0.0399,0.0456,0.0284,0.2866
281,2426,0,elites.json,1,10,-1,-1,False,False,False,False,0.0974,0.0033,0.0083,0.0228,0.0404,0.0128,0.0218,0.348
289,2426,0,elites.json,1,11,-1,-1,False,False,False,False,0.08,0.0018,0.0072,0.0232,0.0234,0.0087,0.0112,0.3725
1475,2426,0,elites.json,0,8,-1,-1,False,True,False,False,0.1133,0.004,0.0047,0.0362,0.0306,0.0131,0.0359,0.356
5177,2426,191,elites.json,2,13,-1,-1,False,False,False,False,0.0461,0.0018,0.0053,0.0184,0.0282,0.0074,0.0239,0.2667
5413,2426,207,elites.json,1,11,-1,-1,False,False,False,False,0.0626,0.003,0.018,0.019,0.0311,0.0108,0.028,0.22
5435,2426,209,elites.json,1,11,-1,-1,False,False,False,False,0.0577,0.0023,0.0091,0.0211,0.0297,0.0081,0.0212,0.3614
5441,2426,209,elites.json,0,9,-1,-1,False,True,False,False,0.0926,0.0026,0.0395,0.0262,0.0292,0.0112,0.0156,0.3028
2342,2426,0,elites.json,3,15,-1,-1,False,False,False,False,0.0434,0.0014,0.007,0.019,0.0174,0.0079,0.0091,0.2608
45,2426,0,elites.json,0,10,-1,-1,False,True,False,False,0.0721,0.0035,0.0078,0.0205,0.0589,0.0117,0.0403,0.3405
336,2426,0,elites.json,2,12,-1,-1,False,False,False,False,0.0974,0.0017,0.0107,0.0293,0.0277,0.0093,0.0129,0.2905
1032,2426,0,elites.json,0,6,-1,-1,False,True,False,False,0.11,0.0054,0.0286,0.0235,0.0729,0.0403,0.0539,0.2946
1140,2426,0,elites.json,1,11,-1,-1,False,False,False,False,0.0777,0.0028,0.0123,0.0245,0.0304,0.0123,0.0186,0.2251
3060,2426,49,elites.json,2,10,-1,-1,False,False,False,False,0.0638,0.0027,0.0052,0.0201,0.0258,0.0131,0.0142,0.2708
3332,2426,67,elites.json,3,17,-1,-1,False,False,False,False,0.0138,0.001,0.0028,0.0085,0.0131,0.0077,0.0087,0.2977
3403,2426,71,elites.json,4,20,-1,-1,False,False,False,False,0.0203,0.0009,0.0035,0.0105,0.0108,0.0071,0.0041,0.2144
