generation,active_species_count,species_count,reserves_size,max_score_variants,avg_fitness,avg_fitness_variants,elites_count,archived_count,speciation_events,merge_events,extinction_events,collapsed_to_one
0,8,8,0,0.3796,0.0288,0.0001,878,1603,8,0,0,False
1,0,0,769,0.3775,0.0487,0.0481,878,121,0,3,0,False
2,9,9,769,0.0443,0.0506,0.0247,769,8,9,0,0,False
3,0,0,731,0.0622,0.0529,0.0279,769,46,0,3,0,False
4,9,9,731,0.2013,0.0538,0.0409,741,0,9,0,0,False
5,0,0,628,0.1031,0.0546,0.0486,741,121,0,4,0,False
6,9,9,628,0.1989,0.0584,0.1055,632,3,9,0,0,False
7,1,1,546,0.0682,0.0624,0.0221,84,12,0,3,0,True
8,7,7,93,0.1549,0.0625,0.0282,544,5,7,0,0,False
9,3,3,539,0.1183,0.0626,0.0465,93,15,3,3,0,False
10,7,7,100,0.0366,0.0627,0.0191,539,0,7,1,0,False
11,3,3,551,0.3666,0.0649,0.1528,100,4,3,3,0,False
12,7,7,111,0.2546,0.0654,0.0839,552,0,7,1,0,False
13,4,4,400,0.107,0.0649,0.0355,261,13,3,2,0,False
14,6,6,273,0.2855,0.0664,0.111,400,0,6,2,0,False
15,3,3,409,0.2546,0.0662,0.0611,264,15,3,2,0,False
16,6,6,260,0.1651,0.0667,0.0425,409,19,6,1,0,False
17,4,4,390,0.3044,0.0682,0.0778,289,4,3,2,0,False
18,5,5,291,0.2298,0.0686,0.0734,390,9,5,1,0,False
19,7,7,402,0.3085,0.0715,0.165,291,5,7,2,0,False
20,6,6,285,0.2412,0.0719,0.0742,423,0,5,3,0,False
21,6,6,433,0.4323,0.0729,0.1125,285,8,6,2,0,False
22,7,7,296,0.339,0.0731,0.0593,433,0,7,3,0,False
23,5,5,436,0.3375,0.0736,0.1109,260,44,5,2,0,False
24,7,7,236,0.0526,0.0762,0.0215,436,31,7,2,0,False
25,5,5,436,0.3266,0.0811,0.2199,235,11,5,2,0,False
26,8,8,203,0.2044,0.0827,0.1216,477,0,7,2,0,False
